sku,week_start,week_end,sales,covered_days,fragment_count,source_sheets,source_periods,is_complete_week
BLJZ0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
BLP0005,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
BLP0007,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
CBJZ0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
CFSNT008,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
DGNTYBV001AMDE,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
DRMJJ0020,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
DRMJJ0024,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
DRMJJ0038,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
DRMJJ0039,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
FRC0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRC0010,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRC0011,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0003,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0004,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0012,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0029,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0031,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0035,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0036,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0037,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0040,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0042,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0045,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0047,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0049,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0052,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRH0058,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW00011,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW00023,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
FRW0007,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0011,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0013,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0014,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0016,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0017,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0020,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0021,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0022,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0023,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
FRW0025,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
FZLRJ0005,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
GJMJSLW001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
GJMJSW001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
GJMUSDW001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
HSAKSLT0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
JZJ0004,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
JZJ0005,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
JZJ0008,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
JZQCQ001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
JZQCQ003,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
JZQCQ004,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
KFYFQ51mm,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
KFYFQ54mm,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
KFYFQ58mm,2025-12-29,2026-01-04,0,4,1,2026_销量,2026-01-01~2026-01-04,False
KFZ0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LRKF0001,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0002,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
LTKF0003B,2025-12-29,2026-01-04,0,3,1,2024-2025_销量,2025-12-29~2025-12-31,False
