sku,2024-2025_销量,2026_销量,universe_status
BLJZ0001,1,0,2024_2025_only
BLP0001,1,1,overlap
BLP0002,1,1,overlap
BLP0003,1,1,overlap
BLP0004,1,1,overlap
BLP0005,0,1,2026_only
BLP0007,0,1,2026_only
CBJZ0001,1,0,2024_2025_only
CFSNT008,0,1,2026_only
CLSSLT0003,1,1,overlap
CLSSLT0006,1,1,overlap
CWW0002,1,1,overlap
DGNTYBV001AMDE,1,0,2024_2025_only
DHZXCZP0001,1,1,overlap
DRMJJ0020,1,0,2024_2025_only
DRMJJ0021,1,1,overlap
DRMJJ0022,1,1,overlap
DRMJJ0023,1,1,overlap
DRMJJ0024,1,0,2024_2025_only
DRMJJ0025,1,1,overlap
DRMJJ0026,1,1,overlap
DRMJJ0027,1,1,overlap
DRMJJ0038,0,1,2026_only
DRMJJ0039,0,1,2026_only
ETZP0003,1,1,overlap
ETZP0004,1,1,overlap
FDBLHP0001,1,1,overlap
FDBLP0001,1,1,overlap
FRC0002,1,0,2024_2025_only
FRC0003,1,1,overlap
FRC0010,1,0,2024_2025_only
FRC0011,1,0,2024_2025_only
FRH0001,1,0,2024_2025_only
FRH0002,1,0,2024_2025_only
FRH0003,1,0,2024_2025_only
FRH0004,1,0,2024_2025_only
FRH0012,1,0,2024_2025_only
FRH0028,1,1,overlap
FRH0029,1,0,2024_2025_only
FRH0031,1,0,2024_2025_only
FRH0033,1,1,overlap
FRH0034,1,1,overlap
FRH0035,1,0,2024_2025_only
FRH0036,1,0,2024_2025_only
FRH0037,1,0,2024_2025_only
FRH0040,1,0,2024_2025_only
FRH0042,1,0,2024_2025_only
FRH0043,1,1,overlap
FRH0044,1,1,overlap
FRH0045,1,0,2024_2025_only
FRH0046,1,1,overlap
FRH0047,1,0,2024_2025_only
FRH0048,1,1,overlap
FRH0049,1,0,2024_2025_only
FRH0050,1,1,overlap
FRH0051,1,1,overlap
FRH0052,1,0,2024_2025_only
FRH0056,1,1,overlap
FRH0056-1,1,1,overlap
FRH0058,1,0,2024_2025_only
FRH0059,1,1,overlap
FRH0064,1,1,overlap
FRH0065,1,1,overlap
FRH0068,1,1,overlap
FRW00011,1,0,2024_2025_only
FRW00023,0,1,2026_only
FRW0005,1,1,overlap
FRW0006,1,1,overlap
FRW0007,1,0,2024_2025_only
FRW0008,1,1,overlap
FRW0009,1,1,overlap
FRW0011,1,0,2024_2025_only
FRW0013,1,0,2024_2025_only
FRW0014,1,0,2024_2025_only
FRW0015,1,1,overlap
FRW0016,1,0,2024_2025_only
FRW0017,1,0,2024_2025_only
FRW0020,1,0,2024_2025_only
FRW0021,1,0,2024_2025_only
FRW0022,1,0,2024_2025_only
FRW0023,1,0,2024_2025_only
FRW0024,1,1,overlap
FRW0025,0,1,2026_only
FSTBY001,1,1,overlap
FZGLS0001,1,1,overlap
FZGLS0002,1,1,overlap
FZLRICBHP0001,1,1,overlap
FZLRJ0001,1,1,overlap
FZLRJ0001double,1,1,overlap
FZLRJ0002,1,1,overlap
FZLRJ0002double,1,1,overlap
FZLRJ0005,0,1,2026_only
GJMJSLW001,1,0,2024_2025_only
GJMJSW001,1,0,2024_2025_only
GJMJWJX001,1,1,overlap
GJMJWJXW001,1,1,overlap
GJMUSDW001,1,0,2024_2025_only
HLGKSLT0001,1,1,overlap
HSAKSLT0001,1,0,2024_2025_only
HWZDSKL0001,1,1,overlap
HWZDSKL0002,1,1,overlap
HZSN0001,1,1,overlap
JZJ00011,1,1,overlap
JZJ00012,1,1,overlap
JZJ0002,1,1,overlap
JZJ0003,1,1,overlap
JZJ0004,1,0,2024_2025_only
JZJ0005,1,0,2024_2025_only
JZJ0008,1,0,2024_2025_only
JZJ0009,1,1,overlap
JZJ0013,1,1,overlap
JZJ0014,1,1,overlap
JZJ0016,1,1,overlap
JZJ0017,1,1,overlap
JZJ0018,1,1,overlap
JZJ0019,1,1,overlap
JZQCQ001,1,0,2024_2025_only
JZQCQ003,1,0,2024_2025_only
JZQCQ004,1,0,2024_2025_only
KFYFQ51mm,0,1,2026_only
KFYFQ54mm,0,1,2026_only
KFYFQ58mm,0,1,2026_only
KFZ0001,1,0,2024_2025_only
KZCWBG001,1,1,overlap
