sku,start_week,end_week,length,pre_weeks,post_weeks,pre_positive_weeks,post_positive_weeks,pre_positive_share,post_positive_share,p_hat,p_zero,median_pre,median_post,corrected
BLJZ0001,2025-09-22,2025-09-29,2,12,12,1,6,0.08333333333333333,0.5,0.2916666666666667,0.501736111111111,1.0,1.5,False
BLP0001,2025-08-11,2025-09-01,4,12,12,4,9,0.3333333333333333,0.75,0.5416666666666666,0.044129171489197545,6.0,4.0,False
BLP0001,2025-11-10,2025-11-24,3,12,12,9,9,0.75,0.75,0.75,0.015625,4.0,5.0,True
BLP0001,2025-12-08,2025-12-22,3,12,12,9,9,0.75,0.75,0.75,0.015625,4.0,6.0,True
BLP0001,2026-03-02,2026-03-23,4,12,12,9,12,0.75,1.0,0.875,0.000244140625,6.0,9.0,True
BLP0002,2025-08-25,2025-09-08,3,12,12,4,11,0.3333333333333333,0.9166666666666666,0.625,0.052734375,1.0,4.0,False
BLP0002,2026-02-23,2026-03-16,4,12,12,10,9,0.8333333333333334,0.75,0.7916666666666666,0.001883801118827162,1.0,2.0,True
BLP0003,2025-11-24,2025-12-01,2,12,12,4,8,0.3333333333333333,0.6666666666666666,0.5,0.25,1.0,1.0,False
BLP0003,2026-01-26,2026-02-09,3,12,12,8,4,0.6666666666666666,0.3333333333333333,0.5,0.125,1.0,1.0,False
BLP0003,2026-03-16,2026-04-06,4,12,12,7,4,0.5833333333333334,0.3333333333333333,0.4583333333333333,0.0860851900077161,1.0,1.5,False
BLP0003,2026-04-20,2026-06-08,8,12,7,4,3,0.3333333333333333,0.42857142857142855,0.3684210526315789,0.02531751994337004,1.0,1.0,False
BLP0004,2025-11-24,2025-12-29,6,12,12,1,4,0.08333333333333333,0.3333333333333333,0.20833333333333334,0.24618078684447064,2.0,1.5,False
CLSSLT0003,2025-03-24,2025-04-07,3,12,12,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2962962962962964,2.5,2.0,False
CLSSLT0003,2025-05-05,2025-06-09,6,12,12,7,2,0.5833333333333334,0.16666666666666666,0.375,0.059604644775390625,2.0,1.0,False
CLSSLT0003,2025-06-23,2025-06-30,2,12,12,4,3,0.3333333333333333,0.25,0.2916666666666667,0.501736111111111,2.0,1.0,False
CLSSLT0003,2025-07-14,2025-09-08,9,12,12,4,5,0.3333333333333333,0.4166666666666667,0.375,0.014551915228366852,1.5,1.0,False
CLSSLT0003,2025-09-29,2025-10-20,4,12,12,3,4,0.25,0.3333333333333333,0.2916666666666667,0.25173912519290115,1.0,1.0,False
CLSSLT0003,2025-11-24,2025-12-29,6,12,12,5,5,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.039400412058470474,1.0,1.0,False
CLSSLT0006,2025-08-25,2025-09-08,3,12,12,6,8,0.5,0.6666666666666666,0.5833333333333334,0.07233796296296294,3.0,2.0,False
CLSSLT0006,2025-11-17,2025-11-24,2,12,12,7,5,0.5833333333333334,0.4166666666666667,0.5,0.25,2.0,1.0,False
CLSSLT0006,2025-12-15,2025-12-29,3,12,12,8,5,0.6666666666666666,0.4166666666666667,0.5416666666666666,0.09628182870370372,1.5,2.0,False
CLSSLT0006,2026-01-19,2026-02-02,3,12,12,7,3,0.5833333333333334,0.25,0.4166666666666667,0.1984953703703703,1.0,2.0,False
CLSSLT0006,2026-03-02,2026-03-16,3,12,12,5,4,0.4166666666666667,0.3333333333333333,0.375,0.244140625,2.0,1.0,False
CLSSLT0006,2026-03-30,2026-04-27,5,12,12,5,6,0.4166666666666667,0.5,0.4583333333333333,0.04662947792084623,2.0,1.0,False
CLSSLT0006,2026-05-18,2026-06-01,3,12,8,4,5,0.3333333333333333,0.625,0.45,0.16637500000000005,1.0,1.0,False
