feature_set,cluster,feature,n_skus,median,ci_low,ci_high
ADI+CV2,1,ADI,123,3.2142857142857144,2.7544063079777366,3.7142857142857144
ADI+CV2,1,CV2,123,0.529090909090909,0.47418255270799137,0.6694008036572435
ADI+CV2,1,nonzero_mean,123,3.4583333333333335,3.1052631578947367,3.7016129032258065
ADI+CV2,1,acf1,123,0.5493732803424034,0.5280028178936245,0.5699137139358684
ADI+CV2,1,trend_coef,123,0.6013240928555329,0.4881987577639752,0.8007922360863536
ADI+CV2,1,peak_ratio,123,3.203883495145631,2.9904153354632586,3.5478260869565217
ADI+CV2,1,trailing_zero_share,123,0.014814814814814815,0.0,0.03333333333333333
ADI+CV2,1,promo_response_index,123,1.0941306755260247,1.0518210941689237,1.1436608672138378
ADI+CV2,1,promo_weight_ratio,123,1.259959236612933,1.1933727282611786,1.3158730158730159
ADI+CV2,1,mean_sales,123,1.1222222222222222,0.8514690170940171,1.4962962962962962
ADI+CV2,1,zero_ratio,123,0.6888888888888889,0.6333333333333333,0.7307692307692307
ADI+CV2,1,total_sales,123,101.0,83.0,127.5
ADI+CV2,1,n_positive,123,31.0,27.0,36.0
ADI+CV2,2,ADI,74,10.825,9.0,12.636363636363637
ADI+CV2,2,CV2,74,0.2698545052769278,0.22600151171579744,0.31336088154269975
ADI+CV2,2,nonzero_mean,74,1.6666666666666667,1.55,1.75
ADI+CV2,2,acf1,74,0.4140906418726771,0.35632180702732785,0.47845433348579175
ADI+CV2,2,trend_coef,74,0.16472361380449613,0.12222222222222222,0.26163414758615994
ADI+CV2,2,peak_ratio,74,2.0,1.875,2.125
ADI+CV2,2,trailing_zero_share,74,0.13333333333333333,0.08400997150997151,0.19245014245014247
ADI+CV2,2,promo_response_index,74,1.050381962895587,0.9587983307221184,1.1699573644296042
ADI+CV2,2,promo_weight_ratio,74,1.2857142857142858,1.1764496707774017,1.4580443349753693
ADI+CV2,2,mean_sales,74,0.15925925925925927,0.1259259259259259,0.201991631054131
ADI+CV2,2,zero_ratio,74,0.9074786324786325,0.8888888888888888,0.9230769230769231
ADI+CV2,2,total_sales,74,19.0,15.0,23.5
ADI+CV2,2,n_positive,74,10.0,8.5,12.0
ADI+CV2+acf1+nonzero_mean,1,ADI,120,3.2142857142857144,2.727272727272727,3.6018403271692736
ADI+CV2+acf1+nonzero_mean,1,CV2,120,0.5174959327785005,0.47284614135806186,0.6030343319073379
ADI+CV2+acf1+nonzero_mean,1,nonzero_mean,120,3.7133064516129033,3.477388211382114,4.2578125
ADI+CV2+acf1+nonzero_mean,1,acf1,120,0.5989366865410027,0.5620162039422838,0.6492442669883676
ADI+CV2+acf1+nonzero_mean,1,trend_coef,120,0.5932880215489977,0.44290316469427105,0.7643241561307432
ADI+CV2+acf1+nonzero_mean,1,peak_ratio,120,3.1764661081492767,2.91892066469462,3.464510723260492
ADI+CV2+acf1+nonzero_mean,1,trailing_zero_share,120,0.014814814814814815,0.0036111111111111166,0.037037037037037035
ADI+CV2+acf1+nonzero_mean,1,promo_response_index,120,1.0798621636662245,1.0040218221144914,1.1463468081653003
ADI+CV2+acf1+nonzero_mean,1,promo_weight_ratio,120,1.2340908521181095,1.1765241128298454,1.2987012987012985
ADI+CV2+acf1+nonzero_mean,1,mean_sales,120,1.2333333333333334,0.9337606837606838,1.5690277777777772
ADI+CV2+acf1+nonzero_mean,1,zero_ratio,120,0.6888888888888889,0.6333333333333333,0.7222222222222223
ADI+CV2+acf1+nonzero_mean,1,total_sales,120,111.5,89.975,135.06249999999994
ADI+CV2+acf1+nonzero_mean,1,n_positive,120,31.0,25.0,36.0
ADI+CV2+acf1+nonzero_mean,2,ADI,77,10.384615384615385,8.666666666666666,11.555555555555555
ADI+CV2+acf1+nonzero_mean,2,CV2,77,0.25455729166666663,0.2046153846153846,0.3033333333333334
ADI+CV2+acf1+nonzero_mean,2,nonzero_mean,77,1.6,1.4761904761904763,1.6666666666666667
ADI+CV2+acf1+nonzero_mean,2,acf1,77,0.32625830692283986,0.26789751318764166,0.36961081044567157
ADI+CV2+acf1+nonzero_mean,2,trend_coef,77,0.16928104575163397,0.1293183940242764,0.2870544090056285
ADI+CV2+acf1+nonzero_mean,2,peak_ratio,77,2.076923076923077,1.875,2.16
ADI+CV2+acf1+nonzero_mean,2,trailing_zero_share,77,0.09615384615384616,0.07692307692307693,0.18269230769230768
ADI+CV2+acf1+nonzero_mean,2,promo_response_index,77,1.084522502744237,1.027442371020856,1.2058177826564214
ADI+CV2+acf1+nonzero_mean,2,promo_weight_ratio,77,1.2932330827067668,1.2007722007722008,1.488479262672811
ADI+CV2+acf1+nonzero_mean,2,mean_sales,77,0.15555555555555556,0.125,0.20206018518518506
ADI+CV2+acf1+nonzero_mean,2,zero_ratio,77,0.9037037037037037,0.8846153846153846,0.9134615384615384
ADI+CV2+acf1+nonzero_mean,2,total_sales,77,16.0,13.0,21.0
ADI+CV2+acf1+nonzero_mean,2,n_positive,77,10.0,9.0,12.0
ADI+CV2+peak_ratio,1,ADI,138,3.507085020242915,3.098170314637483,3.928571428571429
ADI+CV2+peak_ratio,1,CV2,138,0.5183548998536839,0.4526830039673153,0.6056286001754441
ADI+CV2+peak_ratio,1,nonzero_mean,138,3.3166666666666664,2.916554659498208,3.658333333333333
ADI+CV2+peak_ratio,1,acf1,138,0.5512702362962669,0.5240188305495996,0.584198385236448
ADI+CV2+peak_ratio,1,trend_coef,138,0.5530339897435291,0.4158452570217276,0.7125272331154684
ADI+CV2+peak_ratio,1,peak_ratio,138,3.0628743774987726,2.902507845704765,3.2868924140736224
ADI+CV2+peak_ratio,1,trailing_zero_share,138,0.014814814814814815,0.007407407407407408,0.03333333333333333
ADI+CV2+peak_ratio,1,promo_response_index,138,1.084274284348243,1.0422263708307626,1.1419201609908372
ADI+CV2+peak_ratio,1,promo_weight_ratio,138,1.2558292282430212,1.1925601750547046,1.3158730158730159
ADI+CV2+peak_ratio,1,mean_sales,138,0.9529914529914529,0.7666666666666667,1.2657051282051284
ADI+CV2+peak_ratio,1,zero_ratio,138,0.7148148148148148,0.6777653133903134,0.75
ADI+CV2+peak_ratio,1,total_sales,138,89.0,72.0,115.5
ADI+CV2+peak_ratio,1,n_positive,138,27.0,22.0,31.0
ADI+CV2+peak_ratio,2,ADI,59,12.272727272727273,10.4,15.0
ADI+CV2+peak_ratio,2,CV2,59,0.21205357142857145,0.15304421768707482,0.25608065532451163
ADI+CV2+peak_ratio,2,nonzero_mean,59,1.5,1.4285714285714286,1.6666666666666667
ADI+CV2+peak_ratio,2,acf1,59,0.36342042755344406,0.30567031827732094,0.43678547410894375
ADI+CV2+peak_ratio,2,trend_coef,59,0.13979238754325257,0.07898351648351638,0.18151260504201677
ADI+CV2+peak_ratio,2,peak_ratio,59,1.8571428571428572,1.736842105263158,2.0
ADI+CV2+peak_ratio,2,trailing_zero_share,59,0.17307692307692307,0.08653846153846154,0.3173076923076923
ADI+CV2+peak_ratio,2,promo_response_index,59,1.073321554770318,0.9543798024149286,1.275616856774686
ADI+CV2+peak_ratio,2,promo_weight_ratio,59,1.2857142857142858,1.1564625850340136,1.510204081632653
ADI+CV2+peak_ratio,2,mean_sales,59,0.1259259259259259,0.10576923076923077,0.15555555555555556
ADI+CV2+peak_ratio,2,zero_ratio,59,0.9185185185185185,0.9109294871794872,0.9326923076923077
ADI+CV2+peak_ratio,2,total_sales,59,15.0,11.0,18.0
ADI+CV2+peak_ratio,2,n_positive,59,9.0,7.0,10.0
