feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,minimum_cluster_jaccard_median,structural_eligible,pareto,analysis_mode,registry_sha256
ADI+CV2,2,2,197,True,,0.38849092414851033,152.7526785259142,74,123,1:123;2:74,0.6393872223005344,0.6504809923367323,0.46114655644807384,0.7823337726244254,"{""1"": 0.8571428571428571, ""2"": 0.7703810367744794}",0.7703810367744794,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1,3,2,197,True,,0.293440886106354,88.86358650358822,67,130,1:130;2:67,0.6040929205755773,0.5821159074927653,0.3998118768476998,0.8540014431232574,"{""1"": 0.8375026057952888, ""2"": 0.7215189873417721}",0.7215189873417721,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean,3,2,197,True,,0.343380701459072,138.8648730030953,84,113,1:113;2:84,0.5813398573191747,0.5717503030265902,0.38902378652904523,0.8076367818062493,"{""1"": 0.8, ""2"": 0.7599551687763713}",0.7599551687763713,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio,3,2,197,True,,0.40048776518411816,161.53376781572823,59,138,1:138;2:59,0.7205197858954245,0.8038785432901012,0.3172729064972513,0.9740781550188139,"{""1"": 0.9298191612158522, ""2"": 0.8583959899749374}",0.8583959899749374,True,True,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+promo_response_index,3,2,197,True,,0.31485816939664546,83.17870522614237,63,134,1:134;2:63,0.5737739419360911,0.5906446121816409,0.30073274200169403,0.8730864222853343,"{""1"": 0.7174882629107981, ""2"": 0.841687552213868}",0.7174882629107981,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+trailing_zero_share,3,2,197,True,,0.34575475830625324,119.0039060118096,85,112,1:112;2:85,0.5834533778051374,0.552523268824046,0.3620513747337826,0.8782795342124643,"{""1"": 0.7912087912087912, ""2"": 0.7584312239484653}",0.7584312239484653,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+trend_coef,3,2,197,True,,0.3209826028979406,103.51523929154084,62,135,1:135;2:62,0.5454258991502229,0.5520157619276753,0.12941761442678731,0.9222726703955731,"{""1"": 0.819047619047619, ""2"": 0.7101449275362319}",0.7101449275362319,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+nonzero_mean,4,2,197,True,,0.36919163069361133,146.19669862567136,77,120,1:120;2:77,0.8375218757521133,0.8756780095874471,0.6309791201417967,0.974490427059972,"{""1"": 0.9497474747474748, ""2"": 0.921875}",0.921875,True,True,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+peak_ratio,4,2,197,True,,0.3198573085061842,114.24599343713855,81,116,1:116;2:81,0.6705820346514517,0.6731031362108534,0.4171114900578914,0.9000135279977522,"{""1"": 0.8571428571428571, ""2"": 0.8195582877959927}",0.8195582877959927,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+promo_response_index,4,2,197,True,,0.24347073295906552,67.72443354136274,89,108,1:108;2:89,0.6353982725711829,0.6521391113772628,0.36190316617244095,0.8782885653533549,"{""1"": 0.8377965703547099, ""2"": 0.8129166666666667}",0.8129166666666667,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+trailing_zero_share,4,2,197,True,,0.2645327534936375,81.09363237871725,84,113,1:84;2:113,0.5238993586189273,0.5330334694181786,0.1518840018181062,0.8999782014812509,"{""1"": 0.7759383217786278, ""2"": 0.7444444444444445}",0.7444444444444445,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+acf1+trend_coef,4,2,197,True,,0.2650169395158992,80.54491215631916,69,128,1:128;2:69,0.36232889715950045,0.3311710168564376,0.019168809140034125,0.736585926107889,"{""1"": 0.6946729338033686, ""2"": 0.5934065934065934}",0.5934065934065934,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+peak_ratio,4,2,197,True,,0.35673050384436605,147.71950326468297,92,105,1:92;2:105,0.6020814313108919,0.6942712589288029,0.21220208779687885,0.8758790950526876,"{""1"": 0.8505747126436781, ""2"": 0.8470588235294118}",0.8470588235294118,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+promo_response_index,4,2,197,True,,0.3165246655675058,107.44502210247106,89,108,1:108;2:89,0.770236316248552,0.8053240784446384,0.5302792449308672,0.9493709145485735,"{""1"": 0.9139784946236559, ""2"": 0.8947368421052632}",0.8947368421052632,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+trailing_zero_share,4,2,197,True,,0.3046436084064053,91.22610693590065,46,151,1:151;2:46,0.5266664906586637,0.5531413843281131,0.11690177963357275,0.867413097293864,"{""1"": 0.8408029878618114, ""2"": 0.648635477582846}",0.648635477582846,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+nonzero_mean+trend_coef,4,2,197,True,,0.3309895306761745,119.70325511270696,86,111,1:111;2:86,0.6595104144531789,0.6726883538188716,0.3600377034604533,0.924545743838917,"{""1"": 0.8557196669310071, ""2"": 0.8029236022193769}",0.8029236022193769,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+promo_response_index,4,2,197,True,,0.3155446704091089,90.65800013172708,69,128,1:128;2:69,0.5877287687454472,0.6269105716709087,0.26025653048253156,0.8747414942420139,"{""1"": 0.8607626514611546, ""2"": 0.7288135593220338}",0.7288135593220338,False,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
ADI+CV2+peak_ratio+trailing_zero_share,4,2,197,True,,0.349996591167721,130.73575389008153,89,108,1:108;2:89,0.7689229451250853,0.8053312647235874,0.4958318494075187,0.9745180077290049,"{""1"": 0.9166666666666666, ""2"": 0.9}",0.9,True,False,retrospective_method_development,12283853551a97c65d5dd5cda121dea0fa581b57c1a860afbe6258755f7d4db0
