sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance,trend_coef,seasonality_idx,peak_ratio,promo_weight_ratio,promo_window_weight_mean,promo_response_index
BLJZ0001,104,7,97,11.0,0.10576923076923077,0.0,0.4388482107218525,1.5714285714285714,0.25068870523415987,14.857142857142858,0.9326923076923077,0.14958050269913592,0.028846153846153848,0.14250734573947113,False,0.34300699300699306,0.0,1.9090909090909092,2.1168831168831166,1.2513736263736266,1.6916475401656517
BLP0001,135,41,94,314.0,2.325925925925926,0.0,4.59205938522763,7.658536585365853,0.49068927745547514,3.292682926829268,0.6962962962962963,0.316008733992323,0.0,0.6483540794354571,False,1.1806211231838808,0.0,3.1337579617834397,1.237488626023658,1.197883597883598,1.0330625014066754
BLP0002,135,39,96,95.0,0.7037037037037037,0.0,1.5016114432431305,2.4358974358974357,0.6102172328327745,3.4615384615384617,0.7111111111111111,0.2819805646509488,0.0,0.3589750758571921,False,1.034901960784314,0.0,4.105263157894737,1.603007518796992,1.197883597883598,1.3381997396317644
BLP0003,135,17,118,21.0,0.15555555555555556,0.0,0.43822346011484237,1.2352941176470589,0.12528344671201816,7.9411764705882355,0.8740740740740741,0.2972217279190187,0.02962962962962963,0.41654571843251076,False,0.47777777777777775,0.0,1.619047619047619,1.1020408163265305,1.197883597883598,0.9199899040888438
BLP0004,135,5,130,9.0,0.06666666666666667,0.0,0.3705582718491397,1.8,0.21604938271604937,27.0,0.9629629629629629,0.10003748456495243,0.18518518518518517,0.238945233265721,False,0.12381989832970228,0.0,1.6666666666666665,0.8095238095238095,1.197883597883598,0.6757950530035335
BLP0005,30,4,26,6.0,0.2,0.0,0.5508613944197477,1.5,0.1481481481481481,7.5,0.8666666666666667,0.3084107553436236,0.26666666666666666,0.31496062992126056,False,-0.3526881720430109,,1.3333333333333333,0.8571428571428571,1.0238095238095235,0.8372093023255816
BLP0007,30,1,29,1.0,0.03333333333333333,0.0,0.18257418583505536,1.0,,30.0,0.9666666666666667,0.15945017978211307,0.1,-0.03571428571428572,False,0.14838709677419357,,1.0,3.0,1.0238095238095235,2.9302325581395356
CBJZ0001,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.05578108497051587,0.6057692307692307,-0.009803921568627501,False,-0.012637362637362655,0.14841117238272805,1.0,2.0,1.2513736263736266,1.598243688254665
CFSNT008,30,4,26,13.0,0.43333333333333335,0.0,1.2780193008453875,3.25,0.33925049309664695,7.5,0.8666666666666667,0.015755492363077717,0.0,0.9251256683494851,False,0.6967741935483874,,1.8461538461538463,2.7362637362637363,1.0238095238095235,2.6726296958855107
CLSSLT0003,135,21,114,39.0,0.28888888888888886,0.0,0.8627158321053198,1.8571428571428572,0.559171597633136,6.428571428571429,0.8444444444444444,0.414096552843231,0.022222222222222223,0.20721935145660078,False,0.32448466566113615,0.0,3.769230769230769,1.4835164835164836,1.197883597883598,1.2384479478119053
CLSSLT0006,135,27,108,50.0,0.37037037037037035,0.0,0.852920712844468,1.8518518518518519,0.26252307692307697,5.0,0.8,0.4554717509352204,0.0,0.32625830692283986,False,0.5537647058823527,0.0,2.16,1.6,1.197883597883598,1.3356890459363957
CWW0002,135,47,88,745.0,5.518518518518518,0.0,10.310009519699596,15.851063829787234,0.5663677507672,2.872340425531915,0.6518518518518519,0.30212233961161794,0.0,0.8243996567988902,False,1.2887941395797693,0.0,3.3436241610738255,1.2669223394055609,1.197883597883598,1.057633931747575
DGNTYBV001AMDE,104,2,102,2.0,0.019230769230769232,0.0,0.1380002272946792,1.0,0.0,52.0,0.9807692307692307,0.0697791944535408,0.4326923076923077,-0.01980198019801988,False,0.012087912087912085,0.28162509279039966,1.0,0.6428571428571428,1.2513736263736266,0.513721185510428
DHZXCZP0001,135,30,105,106.0,0.7851851851851852,0.0,2.012591650588288,3.533333333333333,0.6945654976000788,4.5,0.7777777777777778,0.23996313257108426,0.007407407407407408,0.49829313952207943,False,0.5578986311505734,0.06686383316413708,3.3962264150943398,1.780323450134771,1.197883597883598,1.4862240816054402
