feature_set,sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability
ADI+CV2,DRMJJ0039,1,408,59,0.14460784313725492
ADI+CV2,FRH0044,1,401,67,0.16708229426433915
ADI+CV2,XGX9992,1,401,73,0.18204488778054864
ADI+CV2,QFSJZ001-1,2,393,151,0.3842239185750636
ADI+CV2,NNB0002,2,405,160,0.3950617283950617
ADI+CV2,XYMZG0016,2,406,164,0.4039408866995074
ADI+CV2,CLSSLT0003,2,400,168,0.42
ADI+CV2,FZLRICBHP0001,2,375,163,0.43466666666666665
ADI+CV2,SLT0003,2,381,183,0.48031496062992124
ADI+CV2,ZJJYZSJBV1AMDE,2,389,187,0.480719794344473
ADI+CV2,JZJ0018,2,392,196,0.5
ADI+CV2,QFSJZ003-1,2,389,204,0.5244215938303342
ADI+CV2,FRC0002,2,406,213,0.5246305418719212
ADI+CV2,ZTD0001,2,399,210,0.5263157894736842
ADI+CV2,DRMJJ0025,2,394,213,0.5406091370558376
ADI+CV2,JZJ0004,2,383,209,0.5456919060052219
ADI+CV2,QCXXC0001,1,414,226,0.5458937198067633
ADI+CV2,LTKF0111,2,392,214,0.5459183673469388
ADI+CV2,DRMJJ0038,1,384,213,0.5546875
ADI+CV2,CLSSLT0006,1,404,226,0.5594059405940595
ADI+CV2,FRW0009,1,407,236,0.5798525798525799
ADI+CV2,FDBLHP0001,2,393,228,0.5801526717557252
ADI+CV2,ZJJSJBV001AMDE,1,404,235,0.5816831683168316
ADI+CV2,FRH0004,1,405,240,0.5925925925925926
ADI+CV2,FRW00023,1,394,238,0.6040609137055838
ADI+CV2,ZBTZ0003,1,400,249,0.6225
ADI+CV2,QFDNZGJK001,1,393,257,0.6539440203562341
ADI+CV2,HWZDSKL0002,1,389,256,0.6580976863753213
ADI+CV2,YBB0001,2,404,266,0.6584158415841584
ADI+CV2,DRMJJ0026,1,401,265,0.6608478802992519
ADI+CV2,LTKF0022,1,396,274,0.6919191919191919
ADI+CV2,xgx0013,1,392,285,0.7270408163265306
ADI+CV2,JZJ0014,1,394,292,0.7411167512690355
ADI+CV2,DRMJJ0020,1,401,307,0.7655860349127181
ADI+CV2,ZJJYZBV001AMDE,1,391,305,0.7800511508951407
ADI+CV2,FRH0028,1,398,314,0.7889447236180904
ADI+CV2,FRH0068,1,395,314,0.7949367088607595
ADI+CV2,XXGP0002,1,386,316,0.8186528497409327
ADI+CV2,JZJ0008,1,402,333,0.8283582089552238
ADI+CV2,KZCWBG001,1,389,323,0.8303341902313625
ADI+CV2,XYMGPD0002,1,409,341,0.8337408312958435
ADI+CV2,XFTW0001,1,402,338,0.8407960199004975
ADI+CV2,JZJ0005,1,402,340,0.845771144278607
ADI+CV2,FRH0065,1,414,352,0.8502415458937198
ADI+CV2,FRH0045,2,401,344,0.85785536159601
ADI+CV2,LTKF098,1,394,345,0.8756345177664975
ADI+CV2,DRMJJ0021,2,401,352,0.8778054862842892
ADI+CV2,FRH0029,1,410,360,0.8780487804878049
ADI+CV2,JZJ00011,1,416,366,0.8798076923076923
ADI+CV2,FZLRJ0001,1,418,370,0.8851674641148325
ADI+CV2,FRW0013,2,393,349,0.8880407124681934
ADI+CV2,DRMJJ0022,1,395,352,0.8911392405063291
ADI+CV2,YDBZ001,1,393,359,0.9134860050890585
ADI+CV2,FRH0049,2,403,369,0.9156327543424317
ADI+CV2,LTKF0008,2,403,369,0.9156327543424317
ADI+CV2,FRW0017,2,408,374,0.9166666666666666
ADI+CV2,WSJZS0002,2,395,365,0.9240506329113924
ADI+CV2,ZJJYZSJSV1AMDE,2,391,364,0.9309462915601023
ADI+CV2,FRW0016,2,393,370,0.9414758269720102
ADI+CV2,QFSJZ002-1,2,387,366,0.9457364341085271
ADI+CV2,LTKF0009,2,415,396,0.9542168674698795
ADI+CV2,QCCXC0004,1,396,380,0.9595959595959596
ADI+CV2,GJMJSLW001,1,391,376,0.9616368286445013
ADI+CV2,SKZ2FT01,1,394,379,0.9619289340101523
ADI+CV2,ZBTZ0002,1,397,382,0.9622166246851386
ADI+CV2,JZJ0019,1,389,375,0.9640102827763496
ADI+CV2,LTKF0101,1,416,402,0.9663461538461539
ADI+CV2,SPH0001,2,403,390,0.967741935483871
ADI+CV2,WSJZS0004,2,379,367,0.9683377308707124
ADI+CV2,DRMJJ0027,2,387,375,0.9689922480620154
ADI+CV2,YKLLW0005,1,390,379,0.9717948717948718
ADI+CV2,ETZP0003,1,390,384,0.9846153846153847
ADI+CV2,SRPDZS0002,2,386,381,0.9870466321243523
ADI+CV2,XYMLRY00001,1,396,391,0.9873737373737373
ADI+CV2,FRW00011,2,417,412,0.988009592326139
ADI+CV2,XGX9995,1,396,392,0.98989898989899
ADI+CV2,SLT0004,2,406,402,0.9901477832512315
ADI+CV2,FRH0040,1,412,408,0.9902912621359223
ADI+CV2,XGX9993,1,398,395,0.992462311557789
ADI+CV2,YJX0024,2,400,397,0.9925
ADI+CV2,DHZXCZP0001,1,387,385,0.9948320413436692
ADI+CV2,GJMJWJXW001,1,391,389,0.9948849104859335
ADI+CV2,zxy0002,2,393,391,0.9949109414758269
ADI+CV2,LYC0201,1,395,393,0.9949367088607595
ADI+CV2,HLGKSLT0001,1,407,405,0.995085995085995
ADI+CV2,ZJJSJSV001AMDE,1,382,381,0.9973821989528796
ADI+CV2,FZLRJ0005,1,387,386,0.9974160206718347
ADI+CV2,BLJZ0001,2,394,393,0.9974619289340102
ADI+CV2,FRW0024,1,394,393,0.9974619289340102
ADI+CV2,BLP0002,1,397,396,0.9974811083123426
ADI+CV2,ETZP0004,1,397,396,0.9974811083123426
ADI+CV2,FRW0015,1,399,398,0.9974937343358395
ADI+CV2,KFYFQ54mm,1,400,399,0.9975
ADI+CV2,LTKF0047,1,402,401,0.9975124378109452
ADI+CV2,BLP0003,2,403,402,0.9975186104218362
ADI+CV2,LTKF0024A,2,403,402,0.9975186104218362
ADI+CV2,LTKF093,1,406,405,0.9975369458128078
ADI+CV2,JZQCQ004,1,407,406,0.9975429975429976
ADI+CV2,QCXDS001,1,412,411,0.9975728155339806
ADI+CV2,BLP0001,1,400,400,1.0
ADI+CV2,BLP0004,2,395,395,1.0
ADI+CV2,CWW0002,1,405,405,1.0
ADI+CV2,DRMJJ0023,1,383,383,1.0
ADI+CV2,FDBLP0001,1,398,398,1.0
ADI+CV2,FRC0003,1,388,388,1.0
ADI+CV2,FRC0010,2,414,414,1.0
ADI+CV2,FRH0001,1,400,400,1.0
ADI+CV2,FRH0002,1,393,393,1.0
ADI+CV2,FRH0003,1,409,409,1.0
ADI+CV2,FRH0031,2,397,397,1.0
ADI+CV2,FRH0033,1,407,407,1.0
ADI+CV2,FRH0034,1,405,405,1.0
ADI+CV2,FRH0035,2,392,392,1.0
ADI+CV2,FRH0037,2,398,398,1.0
