feature_set,k,n_skus,silhouette,calinski_harabasz,cluster_sizes,min_cluster_size,minimum_cluster_jaccard_median,structural_eligible,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians
ADI+CV2,2,197,0.38849092414851033,152.7526785259142,1:123;2:74,74,0.7703810367744794,True,0.6393872223005344,0.6504809923367323,0.46114655644807384,0.7823337726244254,"{""1"": 0.8571428571428571, ""2"": 0.7703810367744794}"
ADI+CV2,3,197,0.3604889226168086,155.9096205964059,1:65;2:58;3:74,58,0.6224050137093615,False,0.548369373648504,0.530540852996627,0.37938585308683354,0.7494403608744797,"{""1"": 0.7702702702702703, ""2"": 0.6326530612244898, ""3"": 0.6224050137093615}"
ADI+CV2,4,197,0.3381166293638151,145.6151230667839,1:65;2:58;3:56;4:18,18,0.4117647058823529,False,0.49518910393572235,0.4756396896600801,0.3469676165788005,0.6740112801577101,"{""1"": 0.64, ""2"": 0.5483870967741935, ""3"": 0.5620719178082192, ""4"": 0.4117647058823529}"
ADI+CV2,5,197,0.32987311647124495,142.30210815736768,1:65;2:47;3:56;4:11;5:18,11,0.21980676328502413,False,0.47563643971658576,0.45184600885327586,0.35053524327643953,0.6366598479352068,"{""1"": 0.53125, ""2"": 0.5327956989247311, ""3"": 0.5444664031620553, ""4"": 0.5577777777777778, ""5"": 0.21980676328502413}"
ADI+CV2,6,197,0.3117651632180443,138.47889216452575,1:19;2:46;3:47;4:56;5:11;6:18,11,0.3333333333333333,False,0.46877813294201504,0.44858945899063096,0.35625780198557583,0.6273436030015712,"{""1"": 0.5773524720893142, ""2"": 0.4897959183673469, ""3"": 0.4166666666666667, ""4"": 0.9166666666666666, ""5"": 0.3333333333333333, ""6"": 0.46875}"
ADI+CV2+acf1+nonzero_mean,2,197,0.36919163069361133,146.19669862567136,1:120;2:77,77,0.921875,True,0.8375218757521133,0.8756780095874471,0.6309791201417967,0.974490427059972,"{""1"": 0.9497474747474748, ""2"": 0.921875}"
ADI+CV2+acf1+nonzero_mean,3,197,0.28536716790041866,101.04905705402298,1:91;2:29;3:77,29,0.5300120048019208,False,0.6865463759013642,0.6604563776421359,0.47131004744976124,0.9320929364480287,"{""1"": 0.9212549603174602, ""2"": 0.7310620479634564, ""3"": 0.5300120048019208}"
ADI+CV2+acf1+nonzero_mean,4,197,0.23678119761020186,84.38485684607433,1:91;2:29;3:62;4:15,15,0.0,False,0.5932589137457881,0.5804473577147823,0.43414256614902685,0.7996262383942844,"{""1"": 0.6447026183457604, ""2"": 0.7580645161290323, ""3"": 0.7537878787878788, ""4"": 0.0}"
ADI+CV2+acf1+nonzero_mean,5,197,0.2134824853051829,78.06675872348067,1:44;2:47;3:29;4:62;5:15,15,0.4100462379150904,False,0.5757620977076868,0.5841366056661508,0.433959054930808,0.6985349193945602,"{""1"": 0.44680851063829785, ""2"": 0.4100462379150904, ""3"": 0.8333333333333334, ""4"": 0.8461538461538461, ""5"": 0.8380102040816326}"
ADI+CV2+acf1+nonzero_mean,6,197,0.2185016497299088,74.03106999527704,1:17;2:27;3:47;4:29;5:62;6:15,15,0.4166666666666667,False,0.612998504289842,0.6174533544809797,0.44553380315816865,0.7843265729827679,"{""1"": 0.4166666666666667, ""2"": 0.8439824205544286, ""3"": 0.8366666666666667, ""4"": 0.9090909090909091, ""5"": 0.5086206896551724, ""6"": 0.5625}"
ADI+CV2+peak_ratio,2,197,0.40048776518411816,161.53376781572823,1:138;2:59,59,0.8583959899749374,True,0.7205197858954245,0.8038785432901012,0.3172729064972513,0.9740781550188139,"{""1"": 0.9298191612158522, ""2"": 0.8583959899749374}"
ADI+CV2+peak_ratio,3,197,0.3562356298306651,153.49001663127947,1:110;2:28;3:59,28,0.625,False,0.578745657368076,0.571829279375385,0.2543212319996269,0.871382550791254,"{""1"": 0.7257326007326007, ""2"": 0.8583959899749374, ""3"": 0.625}"
ADI+CV2+peak_ratio,4,197,0.28916988774692604,138.65597425704541,1:52;2:58;3:28;4:59,28,0.42857142857142855,False,0.5112961261845029,0.47316643228085425,0.3174644247078933,0.7750430920433203,"{""1"": 0.5663522012578617, ""2"": 0.5745370370370371, ""3"": 0.6779953917050692, ""4"": 0.42857142857142855}"
ADI+CV2+peak_ratio,5,197,0.27923900832992443,134.89155112827206,1:52;2:58;3:28;4:41;5:18,18,0.4913767469521261,False,0.5469839101402122,0.5129145517997846,0.37806997718398067,0.7628146659620882,"{""1"": 0.6125740618828177, ""2"": 0.4913767469521261, ""3"": 0.7165178571428572, ""4"": 0.7158385093167702, ""5"": 0.7368421052631579}"
ADI+CV2+peak_ratio,6,197,0.27396111958999975,135.33456875007496,1:21;2:31;3:58;4:28;5:41;6:18,18,0.4068287037037037,False,0.5563011479387366,0.5351033611921853,0.40596690338260666,0.7474569496225595,"{""1"": 0.6440092165898618, ""2"": 0.5204166666666667, ""3"": 0.4068287037037037, ""4"": 0.75, ""5"": 0.7368421052631579, ""6"": 0.5303308823529411}"
