sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability
LTKF0022,2,396,175,0.44191919191919193
HWZDSKL0002,2,389,179,0.4601542416452442
XYMGPD0002,1,409,206,0.5036674816625917
QFDNZGJK001,1,393,229,0.5826972010178118
DRMJJ0026,2,401,236,0.5885286783042394
QFSJZ003-1,1,389,229,0.5886889460154242
DRMJJ0020,2,401,257,0.6408977556109726
FDBLHP0001,1,393,253,0.6437659033078881
FRH0068,2,395,273,0.6911392405063291
XGX9992,2,401,302,0.7531172069825436
DRMJJ0022,1,395,313,0.7924050632911392
FRH0065,1,414,329,0.7946859903381642
XGX9993,2,398,331,0.8316582914572864
JZJ0018,1,392,327,0.8341836734693877
xgx0014,1,388,330,0.8505154639175257
FRH0034,1,405,345,0.8518518518518519
xgx0015,1,393,338,0.8600508905852418
CLSSLT0003,2,400,349,0.8725
xgx0016,1,410,358,0.8731707317073171
BLP0002,1,397,347,0.8740554156171285
FRH0028,2,398,348,0.8743718592964824
JZJ00011,1,416,370,0.8894230769230769
YJLZHMV000AMDE,1,382,340,0.8900523560209425
FZLRICBHP0001,1,375,334,0.8906666666666667
KFYFQ51mm,1,398,356,0.8944723618090452
ZBTZ0003,2,400,358,0.895
SLT0003,2,381,342,0.8976377952755905
FRH0050,1,390,352,0.9025641025641026
JZJ0014,2,394,358,0.9086294416243654
JZJ0016,1,386,351,0.9093264248704663
JZJ0005,1,402,367,0.9129353233830846
xgx0013,2,392,359,0.9158163265306123
FRH0029,2,410,376,0.9170731707317074
QFSJZ001-1,1,393,362,0.9211195928753181
LTKF0008,2,403,373,0.9255583126550868
FRC0003,1,388,362,0.9329896907216495
ZJJYZSJBV1AMDE,2,389,363,0.9331619537275064
DRMJJ0021,2,401,377,0.940149625935162
XFTW0001,1,402,378,0.9402985074626866
FRW0009,2,407,383,0.941031941031941
FRW00023,2,394,371,0.9416243654822335
QCXXC0001,2,414,390,0.9420289855072463
FRH0049,2,403,381,0.9454094292803971
SLT0004,2,406,384,0.9458128078817734
ZJJSJBV001AMDE,2,404,383,0.948019801980198
DRMJJ0038,2,384,366,0.953125
