merge_step,left_node,right_node,merge_distance,new_cluster_size
1,13.0,124.0,0.15721167165114824,2.0
2,86.0,118.0,0.16710387403452187,2.0
3,1.0,162.0,0.17104386891175813,2.0
4,96.0,180.0,0.1755390505253551,2.0
5,20.0,145.0,0.20276519773446045,2.0
6,37.0,120.0,0.23127073705178203,2.0
7,8.0,50.0,0.24493569966032913,2.0
8,90.0,155.0,0.25233192409045485,2.0
9,81.0,178.0,0.26418015018556285,2.0
10,192.0,193.0,0.2686449353509798,2.0
11,65.0,70.0,0.26961925256690505,2.0
12,26.0,141.0,0.2709731941480048,2.0
13,89.0,197.0,0.2881778493594093,3.0
14,19.0,136.0,0.30250263003867367,2.0
15,17.0,39.0,0.30511803405790816,2.0
16,27.0,49.0,0.3190438786250585,2.0
17,48.0,57.0,0.32068126181422235,2.0
18,38.0,173.0,0.3208792963686331,2.0
19,12.0,25.0,0.32457526328721276,2.0
20,101.0,158.0,0.32777550892167984,2.0
21,29.0,149.0,0.333323405483142,2.0
22,74.0,148.0,0.33625645945315413,2.0
23,34.0,122.0,0.3443414801994674,2.0
24,68.0,69.0,0.3493822242780704,2.0
25,60.0,170.0,0.36481515988447105,2.0
26,46.0,84.0,0.38139522617039706,2.0
27,11.0,51.0,0.38159317310539287,2.0
28,56.0,104.0,0.3857517111286752,2.0
29,92.0,93.0,0.3898731395214703,2.0
30,16.0,54.0,0.39635332496338793,2.0
31,0.0,53.0,0.3995119984222214,2.0
32,129.0,174.0,0.39971123017852384,2.0
33,147.0,171.0,0.4024422020286596,2.0
34,72.0,175.0,0.4052694714496086,2.0
35,58.0,186.0,0.41438042685172277,2.0
36,80.0,166.0,0.4235362206828717,2.0
37,23.0,208.0,0.4240289006462217,3.0
38,36.0,216.0,0.42509813968615706,3.0
39,126.0,164.0,0.43306662464697787,2.0
40,33.0,95.0,0.4358308604733555,2.0
41,5.0,217.0,0.43939248118549906,3.0
42,24.0,59.0,0.44706047288078604,2.0
43,75.0,139.0,0.45062186930102555,2.0
44,6.0,183.0,0.4683160883573728,2.0
45,146.0,160.0,0.4692329253978431,2.0
46,109.0,200.0,0.4757372644999365,3.0
47,121.0,199.0,0.47920594505556885,3.0
48,73.0,105.0,0.4809517413402162,2.0
49,47.0,224.0,0.48311122205273577,3.0
50,71.0,97.0,0.4845881708228006,2.0
51,82.0,131.0,0.4875762847398019,2.0
52,18.0,76.0,0.4899294325325917,2.0
53,40.0,107.0,0.4919641868810625,2.0
54,150.0,152.0,0.5018354613053571,2.0
55,87.0,88.0,0.5051454774497957,2.0
56,2.0,45.0,0.5073273797359584,2.0
57,9.0,14.0,0.5115630525386109,2.0
58,184.0,210.0,0.5181124522862801,3.0
59,138.0,231.0,0.5198218385750163,3.0
60,55.0,195.0,0.5308125493912424,2.0
61,7.0,99.0,0.5336543741047346,2.0
62,85.0,223.0,0.53686600512619,3.0
63,114.0,222.0,0.5404818618562833,3.0
64,188.0,202.0,0.5444410614118973,3.0
65,4.0,177.0,0.5674831951285307,2.0
66,31.0,205.0,0.5715743903009513,3.0
67,28.0,189.0,0.5782933563554797,2.0
68,21.0,100.0,0.5820961874563231,2.0
69,116.0,161.0,0.5843374187034053,2.0
70,83.0,115.0,0.5878343203854393,2.0
71,209.0,255.0,0.589133806611512,6.0
72,179.0,181.0,0.59350617161986,2.0
73,15.0,143.0,0.5974505672695687,2.0
74,44.0,110.0,0.5979923582565405,2.0
75,112.0,125.0,0.6026878587749802,2.0
76,142.0,204.0,0.6106887114615377,3.0
77,219.0,228.0,0.6150155522950803,4.0
78,67.0,190.0,0.6174515955890056,2.0
79,133.0,230.0,0.6302850160839414,3.0
80,119.0,234.0,0.6367763345958763,4.0
81,22.0,263.0,0.6461176242998913,3.0
82,176.0,252.0,0.646137744021922,3.0
83,172.0,254.0,0.6548005960710315,4.0
84,225.0,251.0,0.6585010212982769,4.0
85,91.0,235.0,0.6612325653946381,3.0
86,198.0,218.0,0.6636444032966259,4.0
87,3.0,117.0,0.6723706356939467,2.0
88,229.0,232.0,0.6735752388898328,4.0
89,135.0,247.0,0.6757398799720495,3.0
90,213.0,214.0,0.6762009380006888,4.0
91,10.0,239.0,0.6770033275182119,3.0
92,140.0,167.0,0.7040281174799183,2.0
93,134.0,163.0,0.7097861902038882,2.0
94,159.0,264.0,0.7160054760625707,3.0
95,127.0,256.0,0.7183023991131205,3.0
96,62.0,212.0,0.7213433560862559,3.0
97,66.0,196.0,0.7240353026934334,2.0
98,187.0,249.0,0.7375293311663156,3.0
99,113.0,280.0,0.7409540982321118,5.0
100,61.0,108.0,0.7438391461515642,2.0
101,35.0,260.0,0.7513523649192377,4.0
102,215.0,284.0,0.7543488262906626,6.0
103,43.0,103.0,0.77793388164532,2.0
104,157.0,237.0,0.778232698148974,4.0
105,106.0,246.0,0.8008766760024734,3.0
106,265.0,274.0,0.8028391708687574,4.0
107,203.0,279.0,0.8119490993009018,6.0
108,123.0,262.0,0.8281047715643036,4.0
109,52.0,253.0,0.8370309456562337,3.0
110,30.0,300.0,0.8411030806265387,5.0
111,64.0,151.0,0.8730288118075726,2.0
112,182.0,270.0,0.875493090153,3.0
113,79.0,137.0,0.8846480823954336,2.0
114,165.0,259.0,0.9016522435402308,4.0
115,242.0,286.0,0.9067004969433364,7.0
116,77.0,132.0,0.9069818647518124,2.0
117,240.0,267.0,0.9176444345333351,8.0
118,144.0,220.0,0.9267190806878255,3.0
119,185.0,298.0,0.9357871336799373,7.0
120,269.0,287.0,0.9800873129876997,5.0
121,194.0,206.0,0.9977252934467096,3.0
122,258.0,288.0,0.9997403339562632,5.0
123,63.0,227.0,1.0022535552313887,3.0
124,128.0,276.0,1.0026090175954085,5.0
125,233.0,236.0,1.0121774715354683,5.0
126,42.0,273.0,1.0162515464236255,5.0
127,272.0,301.0,1.0666849308454416,6.0
128,153.0,154.0,1.0763106508003248,2.0
129,32.0,310.0,1.0838289191649308,5.0
130,275.0,315.0,1.093889467284615,10.0
131,243.0,281.0,1.1036151978299689,6.0
132,304.0,314.0,1.1498055429205734,7.0
133,241.0,292.0,1.1559476698673645,5.0
134,111.0,261.0,1.1649118585611045,3.0
135,221.0,277.0,1.1797150876298637,5.0
136,78.0,290.0,1.1926613687760728,4.0
137,283.0,297.0,1.2280124249050213,6.0
138,201.0,323.0,1.2344358885993887,8.0
139,248.0,271.0,1.2412609217848152,4.0
140,278.0,321.0,1.2587060149798277,8.0
141,168.0,191.0,1.2809217426037058,2.0
142,102.0,317.0,1.2867800461692873,4.0
143,94.0,308.0,1.2910141046537016,4.0
144,322.0,333.0,1.4054732251913866,11.0
145,211.0,337.0,1.4133266849807178,4.0
146,303.0,320.0,1.4183491645676942,11.0
147,130.0,257.0,1.4247723726867034,3.0
148,250.0,296.0,1.4265741994963106,4.0
149,266.0,305.0,1.4303150032086962,5.0
150,41.0,329.0,1.4575682707990956,6.0
151,307.0,324.0,1.468311646739176,4.0
152,291.0,299.0,1.5404782069469707,5.0
153,98.0,327.0,1.5618700749481726,7.0
154,245.0,325.0,1.5702359724160375,8.0
155,207.0,238.0,1.5887093794804237,4.0
156,226.0,341.0,1.6200384016413862,6.0
157,294.0,347.0,1.6380195037690781,7.0
158,285.0,335.0,1.6409953970299578,7.0
159,282.0,289.0,1.7286006938235845,6.0
160,244.0,293.0,1.7318589285495765,4.0
161,309.0,312.0,1.77714321670224,4.0
162,318.0,334.0,1.9715738772400428,13.0
163,311.0,319.0,2.0173294367949843,10.0
164,169.0,354.0,2.0563570139310263,8.0
165,316.0,340.0,2.0911508246864936,16.0
