sku,better_naive_origins,better_ma4_origins,valid_origins,origin_index,origin,cluster,cluster_eligible,n_positive,ADI,CV2,nonzero_mean,acf1
BLP0001,3,3,5,5,2026-04-13,1,True,31,3.838709677419355,0.5742973539899323,6.629032258064516,0.6102851727748427
FDBLP0001,3,3,5,5,2026-04-13,1,True,34,3.5,1.733450230218467,5.029411764705882,0.6286517334946861
FRC0003,3,3,5,5,2026-04-13,1,True,37,3.216216216216216,0.5749255002128565,2.3513513513513518,0.4585176071559203
FRW0009,3,3,5,5,2026-04-13,2,True,20,5.95,0.2812817166884153,1.65,0.4934803913845254
FZLRJ0002,3,3,5,5,2026-04-13,1,True,39,3.051282051282051,0.7796052631578947,4.0,0.604922676757166
JZJ0002,3,3,5,5,2026-04-13,1,True,64,1.859375,0.2878391135857824,9.578125,0.7800213295893093
JZJ0013,5,3,5,5,2026-04-13,1,True,70,1.7,0.3655840959203351,16.514285714285716,0.8341941583190857
LTKF0019,3,3,5,5,2026-04-13,1,True,34,3.5,1.1419013075798845,2.323529411764706,0.3462454736510255
LTKF0021,3,3,5,5,2026-04-13,1,True,57,2.087719298245614,0.3917269110092261,4.754385964912281,0.6449618969675349
YDBZ002,3,3,5,5,2026-04-13,1,True,36,3.305555555555556,1.06444686109738,3.5416666666666665,0.5287156480888784
