sku,better_naive_origins,better_ma4_origins,valid_origins
BLJZ0001,1,0,2
BLP0001,3,3,5
BLP0002,2,1,5
BLP0003,0,0,5
BLP0004,0,0,5
BLP0005,1,1,2
BLP0007,0,0,2
CBJZ0001,0,0,2
CFSNT008,0,0,2
CLSSLT0003,1,1,5
CLSSLT0006,2,2,5
CWW0002,2,1,5
DGNTYBV001AMDE,0,0,2
DHZXCZP0001,2,2,5
DRMJJ0020,2,0,2
DRMJJ0021,1,1,5
DRMJJ0022,3,2,5
DRMJJ0023,1,2,5
DRMJJ0024,0,0,2
DRMJJ0025,2,2,5
DRMJJ0026,0,1,5
DRMJJ0027,0,1,5
DRMJJ0038,1,1,2
DRMJJ0039,1,1,2
ETZP0003,1,3,5
ETZP0004,1,1,5
FDBLHP0001,0,0,5
FDBLP0001,3,3,5
FRC0002,0,0,2
FRC0003,3,3,5
FRC0010,0,0,2
FRC0011,0,0,2
FRH0001,0,0,2
FRH0002,0,0,2
FRH0003,0,0,2
FRH0004,0,0,2
FRH0012,0,0,2
FRH0028,0,1,5
FRH0029,0,0,2
FRH0031,0,0,2
FRH0033,4,2,5
FRH0034,1,2,5
FRH0035,0,0,2
FRH0036,0,0,2
FRH0037,0,0,2
FRH0040,0,0,2
FRH0042,0,0,2
FRH0043,2,3,5
FRH0044,4,2,5
FRH0045,0,0,2
FRH0046,2,3,5
FRH0047,0,0,2
FRH0048,4,1,5
FRH0049,0,0,2
FRH0050,1,1,5
FRH0051,1,3,5
FRH0052,0,0,2
FRH0056,1,1,5
FRH0056-1,1,2,5
FRH0058,0,0,2
FRH0059,1,0,5
FRH0064,1,1,5
FRH0065,2,0,5
FRH0068,0,0,5
FRW00011,0,1,2
FRW00023,0,0,2
FRW0005,4,2,5
FRW0006,1,1,5
FRW0007,0,0,2
FRW0008,1,3,5
FRW0009,3,3,5
FRW0011,0,0,2
FRW0013,0,0,2
FRW0014,0,0,2
FRW0015,0,0,5
FRW0016,0,0,2
FRW0017,0,0,2
FRW0020,0,0,2
FRW0021,0,0,2
FRW0022,0,0,2
FRW0023,0,2,2
FRW0024,1,2,5
FRW0025,0,0,2
FSTBY001,0,0,5
FZGLS0001,0,1,5
FZGLS0002,0,1,5
FZLRICBHP0001,0,1,5
FZLRJ0001,1,0,5
FZLRJ0001double,0,1,5
FZLRJ0002,3,3,5
FZLRJ0002double,0,1,5
FZLRJ0005,0,0,2
GJMJSLW001,0,0,2
GJMJSW001,0,0,2
GJMJWJX001,0,0,5
GJMJWJXW001,0,2,5
GJMUSDW001,0,0,2
HLGKSLT0001,1,1,5
HSAKSLT0001,0,0,2
HWZDSKL0001,0,0,5
HWZDSKL0002,0,2,5
HZSN0001,3,2,5
JZJ00011,3,2,5
JZJ00012,2,2,5
JZJ0002,3,3,5
JZJ0003,3,1,5
JZJ0004,0,0,2
JZJ0005,0,0,2
JZJ0008,0,1,2
JZJ0009,3,2,5
JZJ0013,5,3,5
JZJ0014,0,2,5
JZJ0016,1,5,5
JZJ0017,1,3,5
JZJ0018,0,1,5
JZJ0019,2,2,5
JZQCQ001,0,0,2
JZQCQ003,0,0,2
JZQCQ004,0,0,2
KFYFQ51mm,1,0,2
KFYFQ54mm,1,0,2
KFYFQ58mm,1,1,2
KFZ0001,0,1,2
KZCWBG001,2,0,5
LRKF0001,0,0,2
LTKF0002,0,0,2
LTKF0003B,0,0,2
LTKF0005A,0,0,2
LTKF0006A,0,0,2
LTKF0008,0,0,2
LTKF0009,0,0,2
LTKF0010,0,0,2
LTKF0012,0,0,2
LTKF0016,0,0,2
LTKF0018A,0,0,2
LTKF0019,3,3,5
LTKF0020,3,2,5
LTKF0021,3,3,5
LTKF0022,0,1,2
LTKF0022M,1,2,5
LTKF0023,0,0,2
LTKF0024A,2,2,2
LTKF0031,1,1,5
LTKF0047,0,1,5
LTKF0058,0,0,5
LTKF0101,3,2,5
LTKF0102,1,0,5
LTKF0103,0,0,2
LTKF0106,0,1,5
LTKF0111,2,2,5
LTKF093,1,1,5
LTKF098,3,2,5
LTKF098B,1,0,2
LYC0201,1,2,5
LYC0203,1,2,5
NNB0002,3,1,5
NNBZL01,0,0,2
QCCXC0004,0,1,5
QCCXC0005,0,1,2
QCCXC0007,0,0,2
QCSSXC0004,0,0,2
QCSSXC0005,1,0,2
QCSSXC0006,0,1,2
QCXDS001,0,0,2
QCXXC0001,0,0,2
QCXXC0002,0,0,2
QFDNZGJK001,0,0,2
QFDNZGJK002,1,1,2
QFSJZ001-1,1,1,2
QFSJZ002-1,1,0,5
QFSJZ003,1,2,5
QFSJZ003-1,1,2,5
QFYF001,0,0,2
QYGZIPJ,0,1,2
RLHZHMV000AMDE,3,0,5
SKZ2FT01,0,0,2
SKZ3FT01,0,0,2
SLT0001,0,0,2
SLT0003,2,1,5
SLT0004,0,2,5
SPH0001,0,1,2
SRPDZS0001,0,0,2
SRPDZS0002,0,0,2
TTNX0002,0,0,2
WSJZS0002,0,0,2
WSJZS0004,1,1,2
XFTW0001,0,0,2
XGX9992,0,0,2
XGX9993,0,0,2
XGX9994,0,0,2
XGX9995,0,0,2
XGX99990,0,0,2
XGX99991,0,0,2
XGX99992,0,0,2
XGX99993,0,0,2
XHP0001,0,2,5
XHZXCZP0001,2,3,5
XHZXCZP0002,0,1,5
XMJ0001,0,0,2
XMJ0004,0,0,2
XMSH0001,1,1,2
XXGP0002,0,0,2
XYJ0001,1,1,2
XYMGPD0001,1,2,2
XYMGPD0002,1,0,2
XYMLRY00001,2,2,2
XYMZD0017,0,0,2
XYMZG0016,0,0,2
YBB0001,1,1,2
YDBZ001,2,1,5
YDBZ002,3,3,5
YDBZLV0001AMDE,0,0,2
YDBZWV0001AMDE,0,0,2
YEC0009,1,1,2
YJL0002,0,0,2
YJLZHMV000AMDE,1,0,5
YJX0022,0,0,2
YJX0023,0,0,2
YJX0024,0,0,2
YJX0025,0,1,2
YKLLW0004,0,0,2
YKLLW0005,0,0,2
YKLLW0006,0,0,2
YXBLJ0001,0,0,5
ZBTZ0002,0,3,5
ZBTZ0003,1,1,5
ZJJSJBV001AMDE,0,0,2
ZJJSJSV001AMDE,0,0,2
ZJJYZBV001AMDE,1,1,2
ZJJYZSJBV1AMDE,0,0,2
ZJJYZSJSV1AMDE,0,0,2
ZJJYZSJSV2AMDE,0,0,2
ZTD0001,1,0,5
ZTD0003,1,1,5
ZTD0004,0,0,2
xgx0013,0,0,2
xgx0014,0,1,2
xgx0015,2,2,2
xgx0016,0,0,2
xymzd0015,0,0,2
xymzd0016,0,0,2
zxy0002,0,0,2
