sku,model,winning_origins,mean_winning_loss
BLJZ0001,MA4_proxy,2,0.6875
BLP0001,Zero,2,2.375
BLP0001,ADIDA2,1,4.056081369167824
BLP0001,MA4_proxy,1,6.0
BLP0001,Naive,1,1.875
BLP0002,MA4_proxy,3,1.7083333333333333
BLP0002,Naive,1,0.625
BLP0002,Zero,1,1.125
BLP0003,MA4_proxy,4,0.4375
BLP0003,Naive,1,0.375
BLP0004,MA4_proxy,4,0.28125
BLP0004,Naive,1,0.0
BLP0005,MA4_proxy,1,0.125
BLP0005,Zero,1,0.125
BLP0007,MA4_proxy,2,0.0
CBJZ0001,MA4_proxy,2,0.0
CFSNT008,MA4_proxy,2,0.0
CLSSLT0003,MA4_proxy,4,0.375
CLSSLT0003,Zero,1,0.125
CLSSLT0006,Naive,3,0.625
CLSSLT0006,ADIDA2,1,0.7708217803177959
CLSSLT0006,Zero,1,0.5
CWW0002,MA4_proxy,2,10.625
CWW0002,SES,2,9.187499970046712
CWW0002,Zero,1,7.5
DGNTYBV001AMDE,MA4_proxy,2,0.0
DHZXCZP0001,MA4_proxy,2,1.1875
DHZXCZP0001,Zero,2,0.375
DHZXCZP0001,Naive,1,0.25
DRMJJ0020,SES,1,1.4045826097147511
DRMJJ0020,Zero,1,0.125
DRMJJ0021,MA4_proxy,2,0.3125
DRMJJ0021,Naive,2,0.0625
DRMJJ0021,ADIDA2,1,0.7499999999999999
DRMJJ0022,MA4_proxy,2,1.3125
DRMJJ0022,Zero,2,0.8125
DRMJJ0022,ADIDA2,1,1.25
DRMJJ0023,Naive,3,1.8333333333333333
DRMJJ0023,MA4_proxy,1,2.125
DRMJJ0023,SES,1,2.873752512919361
DRMJJ0024,MA4_proxy,2,0.0
DRMJJ0025,MA4_proxy,2,0.1875
DRMJJ0025,ADIDA2,1,0.8750000037441611
DRMJJ0025,Naive,1,0.0
DRMJJ0025,Zero,1,0.625
DRMJJ0026,MA4_proxy,3,1.25
DRMJJ0026,Naive,2,0.125
DRMJJ0027,MA4_proxy,4,0.4375
DRMJJ0027,Naive,1,0.0
DRMJJ0038,MA4_proxy,1,0.75
DRMJJ0038,Zero,1,0.375
DRMJJ0039,MA4_proxy,1,0.75
DRMJJ0039,Zero,1,0.125
ETZP0003,Naive,2,1.3125
ETZP0003,Zero,2,2.0625
ETZP0003,MA4_proxy,1,1.25
ETZP0004,MA4_proxy,3,1.375
ETZP0004,ADIDA2,1,0.7466358005873927
ETZP0004,Zero,1,2.125
FDBLHP0001,Naive,3,0.5833333333333334
FDBLHP0001,MA4_proxy,2,0.3125
FDBLP0001,ADIDA2,2,1.543250451741483
FDBLP0001,Zero,2,5.6875
FDBLP0001,Naive,1,6.125
FRC0002,MA4_proxy,2,0.0
FRC0003,MA4_proxy,2,0.75
FRC0003,Zero,2,0.625
FRC0003,ADIDA2,1,3.0799091135535877
FRC0010,MA4_proxy,2,0.0
FRC0011,MA4_proxy,2,0.0
FRH0001,MA4_proxy,2,0.0
FRH0002,MA4_proxy,2,0.0
FRH0003,MA4_proxy,2,0.0625
FRH0004,MA4_proxy,2,0.0
FRH0012,MA4_proxy,2,0.0
FRH0028,MA4_proxy,3,0.20833333333333334
FRH0028,Naive,2,0.125
FRH0029,MA4_proxy,2,0.4375
FRH0031,MA4_proxy,2,0.0
FRH0033,Zero,2,1.5
FRH0033,ADIDA2,1,2.968903581510347
FRH0033,MA4_proxy,1,1.75
FRH0033,Naive,1,0.5
FRH0034,MA4_proxy,2,0.25
FRH0034,Zero,2,0.25
FRH0034,ADIDA2,1,2.3392543114048565
FRH0035,MA4_proxy,2,0.0
FRH0036,MA4_proxy,2,0.0
FRH0037,MA4_proxy,2,0.0
FRH0040,MA4_proxy,2,0.0
FRH0042,MA4_proxy,2,0.0
FRH0043,MA4_proxy,2,0.375
FRH0043,Zero,2,0.1875
FRH0043,Naive,1,0.0
FRH0044,Zero,3,0.3333333333333333
FRH0044,MA4_proxy,2,0.59375
FRH0045,MA4_proxy,2,0.0
FRH0046,Naive,2,1.0
FRH0046,MA4_proxy,1,4.6875
FRH0046,SES,1,3.9245166581950643
FRH0046,Zero,1,3.5
FRH0047,MA4_proxy,2,0.0
FRH0048,MA4_proxy,3,2.8541666666666665
FRH0048,Naive,1,2.5
FRH0048,SES,1,3.904981249822607
FRH0049,MA4_proxy,2,0.0
FRH0050,Naive,2,0.1875
FRH0050,ADIDA2,1,1.392911833019125
FRH0050,MA4_proxy,1,3.25
FRH0050,Zero,1,0.5
FRH0051,Naive,4,1.4375
FRH0051,SES,1,1.07460040471602
FRH0052,MA4_proxy,2,0.0
FRH0056,Naive,3,2.9166666666666665
FRH0056,MA4_proxy,2,5.1875
FRH0056-1,Naive,3,0.375
FRH0056-1,ADIDA2,1,0.5
FRH0056-1,MA4_proxy,1,0.125
FRH0058,MA4_proxy,2,0.0
FRH0059,Naive,3,0.3333333333333333
FRH0059,MA4_proxy,2,1.90625
FRH0064,MA4_proxy,2,2.03125
FRH0064,Naive,2,0.5
FRH0064,Zero,1,1.625
FRH0065,Naive,3,0.5833333333333334
FRH0065,MA4_proxy,2,1.1875
FRH0068,MA4_proxy,3,0.6666666666666666
FRH0068,Naive,2,0.5
FRW00011,MA4_proxy,1,0.0
FRW00011,Naive,1,0.0
FRW00023,MA4_proxy,2,0.1875
FRW0005,MA4_proxy,3,1.5208333333333333
FRW0005,ADIDA2,2,1.611857644213402
FRW0006,Naive,2,3.4375
FRW0006,ADIDA2,1,2.887760630524758
FRW0006,SES,1,2.2296134124227436
FRW0006,Zero,1,0.625
FRW0007,MA4_proxy,2,0.0
FRW0008,MA4_proxy,2,0.3125
FRW0008,Naive,2,0.0
FRW0008,Zero,1,0.0
FRW0009,ADIDA2,2,1.1859226812923667
FRW0009,MA4_proxy,2,0.5625
FRW0009,Zero,1,0.125
FRW0011,MA4_proxy,2,0.0
FRW0013,MA4_proxy,2,0.0
FRW0014,MA4_proxy,2,0.0
FRW0015,MA4_proxy,4,0.46875
FRW0015,Naive,1,10.25
FRW0016,MA4_proxy,2,0.0
FRW0017,MA4_proxy,2,0.0
FRW0020,MA4_proxy,2,0.0
FRW0021,MA4_proxy,2,0.0
FRW0022,MA4_proxy,2,0.0
FRW0023,Naive,2,0.0625
FRW0024,MA4_proxy,2,1.5625
FRW0024,Naive,2,1.4375
FRW0024,ADIDA2,1,3.1249999887675166
FRW0025,MA4_proxy,2,0.3125
FSTBY001,MA4_proxy,5,0.05
FZGLS0001,MA4_proxy,3,0.20833333333333334
FZGLS0001,Naive,2,0.125
FZGLS0002,MA4_proxy,4,0.1875
FZGLS0002,Naive,1,0.0
FZLRICBHP0001,MA4_proxy,3,0.7083333333333334
FZLRICBHP0001,Naive,1,0.0
FZLRICBHP0001,Zero,1,0.0
FZLRJ0001,MA4_proxy,2,1.6875
FZLRJ0001,Naive,2,0.25
