origin_index,model,total,mase_computable,mase_not_computable
1,ADIDA2,195,173,22
1,MA4_proxy,195,173,22
1,Naive,195,173,22
1,SES,195,173,22
1,Zero,195,173,22
2,ADIDA2,195,189,6
2,MA4_proxy,195,189,6
2,Naive,195,189,6
2,SES,195,189,6
2,Zero,195,189,6
3,ADIDA2,100,99,1
3,MA4_proxy,100,99,1
3,Naive,100,99,1
3,SES,100,99,1
3,Zero,100,99,1
4,ADIDA2,147,115,32
4,MA4_proxy,147,115,32
4,Naive,147,115,32
4,SES,147,115,32
4,Zero,147,115,32
5,ADIDA2,147,125,22
5,MA4_proxy,147,125,22
5,Naive,147,125,22
5,SES,147,125,22
5,Zero,147,125,22
6,ADIDA2,147,131,16
6,MA4_proxy,147,131,16
6,Naive,147,131,16
6,SES,147,131,16
6,Zero,147,131,16
