feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,pareto
ADI+CV2,2,2,130,True,,0.3716146174375172,93.67874109317005,47,83,1:47;2:83,0.4822933144593843,0.4482064415982435,0.2405901732965157,0.7793827073191952,"{""1"": 0.7518115942028986, ""2"": 0.6896551724137931}",False
ADI+CV2,2,3,130,True,,0.306056274202903,82.96987167694994,21,62,1:47;2:62;3:21,0.3788093433140042,0.3377341159753179,0.22883562119693637,0.6192018839074755,"{""1"": 0.56125, ""2"": 0.5089314194577352, ""3"": 0.38095238095238093}",False
ADI+CV2,2,4,130,True,,0.3323932888172232,92.69973546721113,12,62,1:35;2:12;3:62;4:21,0.48730499986727877,0.46889403169679306,0.350160602918954,0.6636203446592278,"{""1"": 0.5714285714285714, ""2"": 0.5777777777777777, ""3"": 1.0, ""4"": 0.6923076923076923}",False
ADI+CV2,2,5,130,True,,0.3746374633041959,115.13596808315293,12,38,1:35;2:12;3:38;4:21;5:24,0.5897681998992937,0.5560370470971381,0.45600693712573015,0.767178218776328,"{""1"": 0.6666666666666666, ""2"": 0.43902439024390244, ""3"": 1.0, ""4"": 0.9, ""5"": 0.6896551724137931}",False
ADI+CV2,2,6,130,True,,0.35293730544994695,110.20743802112327,12,38,1:15;2:20;3:12;4:38;5:21;6:24,0.5690316741457563,0.5512539571855429,0.439445460124557,0.7123055955485066,"{""1"": 0.41935483870967744, ""2"": 0.7142857142857143, ""3"": 1.0, ""4"": 0.9090909090909091, ""5"": 0.2608695652173913, ""6"": 0.5577777777777778}",False
ADI+CV2+mean_sales,3,2,130,True,,0.4241511777135577,141.06571717180054,60,70,1:70;2:60,0.5894966996283474,0.5296055552682246,0.37286729382167566,0.927595055075234,"{""1"": 0.75, ""2"": 0.7692307692307693}",False
ADI+CV2+mean_sales,3,3,130,True,,0.3574267391648387,110.45910696150023,33,60,1:33;2:37;3:60,0.5745935148774182,0.5051730632922498,0.3874299908180582,0.8884419595346454,"{""1"": 0.74, ""2"": 0.4186046511627907, ""3"": 0.7027027027027027}",False
ADI+CV2+mean_sales,3,4,130,True,,0.31808085429817007,100.90593506210736,23,37,1:33;2:37;3:37;4:23,0.5521813025815593,0.5035123707022886,0.40880826162245476,0.8546119444694733,"{""1"": 0.45161290322580644, ""2"": 0.3442010950721752, ""3"": 0.9, ""4"": 0.5277777777777778}",False
ADI+CV2+mean_sales,3,5,130,True,,0.3304217442999086,101.76822620623349,8,37,1:33;2:8;3:29;4:37;5:23,0.6530365618658837,0.6328004585008092,0.5383072857958703,0.8130318799408207,"{""1"": 0.5517241379310345, ""2"": 0.4473684210526316, ""3"": 0.9047379032258065, ""4"": 0.95, ""5"": 0.4166666666666667}",False
ADI+CV2+mean_sales,3,6,130,True,,0.3517948702113372,107.62850069855352,8,33,1:33;2:8;3:29;4:14;5:23;6:23,0.7274207491927945,0.7362716321605982,0.5672031798588711,0.8737698899529598,"{""1"": 0.5833333333333334, ""2"": 0.875, ""3"": 0.88, ""4"": 0.95, ""5"": 0.45454545454545453, ""6"": 0.6449579831932774}",False
ADI+CV2+std_sales,3,2,130,True,,0.41961362450035866,136.59829995753776,60,70,1:70;2:60,0.7504756535939068,0.8151509277942245,0.4224739575685173,1.0,"{""1"": 0.9090909090909091, ""2"": 0.9074074074074074}",True
ADI+CV2+std_sales,3,3,130,True,,0.31123113934250773,96.61784936805086,25,60,1:45;2:25;3:60,0.5966076791820561,0.587240931718509,0.35760382184087175,0.9034081883160612,"{""1"": 0.8237577639751552, ""2"": 0.4673758865248227, ""3"": 0.48749218261413385}",False
ADI+CV2+std_sales,3,4,130,True,,0.2673436363887921,86.4559548513558,24,45,1:45;2:25;3:36;4:24,0.5274750808969657,0.4639145488781596,0.31504885280203276,0.8438056950810725,"{""1"": 0.4888888888888889, ""2"": 0.5957446808510638, ""3"": 0.5263157894736842, ""4"": 0.5645833333333333}",False
ADI+CV2+std_sales,3,5,130,True,,0.25421494889350343,81.58606103962774,22,36,1:22;2:25;3:23;4:36;5:24,0.6386611872961216,0.6330068588744384,0.46493177889307014,0.8332347042249179,"{""1"": 0.6141439205955335, ""2"": 0.5201288244766505, ""3"": 0.5339366515837104, ""4"": 0.9473684210526315, ""5"": 0.6348484848484848}",False
ADI+CV2+std_sales,3,6,130,True,,0.2935117006811462,83.9530308696676,16,25,1:22;2:25;3:20;4:23;5:16;6:24,0.6856601964833181,0.6779272602416664,0.5520202250952638,0.8412571132279373,"{""1"": 0.5400641025641025, ""2"": 0.6306042884990253, ""3"": 0.8235294117647058, ""4"": 0.95, ""5"": 0.6551724137931034, ""6"": 0.8235294117647058}",False
ADI+CV2+nonzero_mean,3,2,130,True,,0.3703853701060828,104.65181201900721,60,70,1:70;2:60,0.7379926003683218,0.7804243107512555,0.4225805049758811,1.0,"{""1"": 0.8947368421052632, ""2"": 0.8846153846153846}",False
ADI+CV2+nonzero_mean,3,3,130,True,,0.31631673647851116,75.45171292712078,21,60,1:49;2:21;3:60,0.5998358295570719,0.5912296779600068,0.3751318765861056,0.8762534697440023,"{""1"": 0.8645104895104896, ""2"": 0.5714285714285714, ""3"": 0.4318181818181818}",False
ADI+CV2+nonzero_mean,3,4,130,True,,0.2693217194994011,68.18181118650327,21,49,1:49;2:21;3:32;4:28,0.5584261774471193,0.5392529676263247,0.3837634348306988,0.8158103399645705,"{""1"": 0.5641025641025641, ""2"": 0.6950483091787439, ""3"": 0.53125, ""4"": 0.7}",False
ADI+CV2+nonzero_mean,3,5,130,True,,0.26803833242405906,68.5531990987814,21,32,1:23;2:26;3:21;4:32;5:28,0.6568969700028844,0.6569287286843901,0.4716014363972738,0.8342848583329491,"{""1"": 0.7692307692307693, ""2"": 0.7931034482758621, ""3"": 0.6594202898550725, ""4"": 0.75, ""5"": 0.6486676016830295}",False
ADI+CV2+nonzero_mean,3,6,130,True,,0.28622861770715224,67.77822259403393,12,28,1:23;2:26;3:20;4:21;5:12;6:28,0.6548971571794573,0.653645176773229,0.5201722824213921,0.8004932859419011,"{""1"": 0.5555555555555556, ""2"": 0.8237577639751552, ""3"": 0.6923076923076923, ""4"": 0.7692307692307693, ""5"": 0.7037037037037037, ""6"": 0.5454545454545454}",False
ADI+CV2+acf1,3,2,130,True,,0.2742464722757614,54.39946043948862,51,79,1:79;2:51,0.39942076699234746,0.32562338607382457,0.13910930378154412,0.8148001416252673,"{""1"": 0.6716417910447762, ""2"": 0.6206896551724138}",False
ADI+CV2+acf1,3,3,130,True,,0.22990479629187457,49.29929133808748,31,51,1:48;2:51;3:31,0.5982644456015753,0.6009057963580997,0.34475618547010983,0.8607420535379282,"{""1"": 0.7429193899782135, ""2"": 0.7906976744186046, ""3"": 0.6296296296296297}",False
ADI+CV2+acf1,3,4,130,True,,0.2607194484201312,52.22483964739216,16,51,1:32;2:16;3:51;4:31,0.6379167945869446,0.6326955010452804,0.42813781955426705,0.8538722449526532,"{""1"": 0.7927847346451997, ""2"": 0.7941176470588235, ""3"": 0.68, ""4"": 0.6150793650793651}",False
ADI+CV2+acf1,3,5,130,True,,0.26140226946407163,53.64846568739924,16,35,1:32;2:16;3:16;4:31;5:35,0.6435012444410448,0.6312590777064088,0.4912694708137459,0.8178093991272486,"{""1"": 0.7257053291536051, ""2"": 0.7575757575757576, ""3"": 0.68, ""4"": 0.7947368421052632, ""5"": 0.3888888888888889}",False
ADI+CV2+acf1,3,6,130,True,,0.2792976201037194,52.88038497134824,14,32,1:32;2:16;3:16;4:21;5:31;6:14,0.6147533290638868,0.6058504057968823,0.45069705639257907,0.7953012921326357,"{""1"": 0.6666666666666666, ""2"": 0.6923076923076923, ""3"": 0.543560606060606, ""4"": 0.8181818181818182, ""5"": 0.4, ""6"": 0.5857843137254902}",False
ADI+CV2+mean_sales+std_sales,4,2,130,True,,0.46546115477116773,171.62921700429757,59,71,1:59;2:71,0.7633791320944849,0.7464861583624649,0.5878057931140633,0.9615375498116576,"{""1"": 0.8888888888888888, ""2"": 0.8640215716486903}",True
ADI+CV2+mean_sales+std_sales,4,3,130,True,,0.2902343875023874,112.78806296919892,31,59,1:59;2:31;3:40,0.6002260582749118,0.529430713279745,0.42975657230431347,0.8346913325159525,"{""1"": 0.7391304347826086, ""2"": 0.7071078431372549, ""3"": 0.3157894736842105}",False
ADI+CV2+mean_sales+std_sales,4,4,130,True,,0.24062278730933895,96.93613178692401,18,41,1:18;2:41;3:31;4:40,0.5004834096756243,0.48746076159543034,0.37614539759206106,0.6435174823255224,"{""1"": 0.42857142857142855, ""2"": 0.75, ""3"": 0.514162077104642, ""4"": 0.3230550284629981}",False
ADI+CV2+mean_sales+std_sales,4,5,130,True,,0.26718605098269516,92.7179037795368,16,40,1:25;2:18;3:31;4:16;5:40,0.5098887174021048,0.4934837992058049,0.398855673070282,0.6373087885414139,"{""1"": 0.59375, ""2"": 0.2631578947368421, ""3"": 0.5521778584392014, ""4"": 0.5714285714285714, ""5"": 0.5}",False
ADI+CV2+mean_sales+std_sales,4,6,130,True,,0.29835050459884405,96.74912903216047,12,31,1:25;2:18;3:31;4:16;5:12;6:28,0.5855088914043861,0.5728401584272935,0.45903821652443505,0.7223498855060702,"{""1"": 0.4037037037037037, ""2"": 0.5862068965517241, ""3"": 0.6153846153846154, ""4"": 0.8260869565217391, ""5"": 0.5384615384615384, ""6"": 0.625}",False
ADI+CV2+mean_sales+acf1,4,2,130,True,,0.35584947293923364,94.50087878274302,63,67,1:63;2:67,0.7191420886523836,0.7132737929522118,0.5295603102003906,0.8868555344316498,"{""1"": 0.8683884936591402, ""2"": 0.8545454545454545}",False
ADI+CV2+mean_sales+acf1,4,3,130,True,,0.2945029708641547,73.43341331364395,31,63,1:63;2:36;3:31,0.6092082663615872,0.6456130362922625,0.3363243969845159,0.8592052933919596,"{""1"": 0.824045407636739, ""2"": 0.6976744186046512, ""3"": 0.6478537360890302}",False
ADI+CV2+mean_sales+acf1,4,4,130,True,,0.2775160490217361,71.9569754253503,31,36,1:31;2:32;3:36;4:31,0.6317286470495468,0.6438782611675185,0.4439682295143904,0.8106727233162337,"{""1"": 0.6478537360890302, ""2"": 0.7236111111111111, ""3"": 0.7142857142857143, ""4"": 0.8571428571428571}",False
ADI+CV2+mean_sales+acf1,4,5,130,True,,0.2547230882641508,64.2156422436525,14,36,1:31;2:14;3:18;4:36;5:31,0.634621573900962,0.6394650586458714,0.5012529776007435,0.7751834467218355,"{""1"": 0.6, ""2"": 0.8620689655172413, ""3"": 0.7333333333333333, ""4"": 0.75, ""5"": 0.3125}",False
ADI+CV2+mean_sales+acf1,4,6,130,True,,0.24205323697988357,58.90902630761443,6,31,1:31;2:14;3:18;4:30;5:31;6:6,0.5920130604311649,0.5892871691981525,0.46198106587730525,0.713745928020025,"{""1"": 0.42424242424242425, ""2"": 0.8304597701149425, ""3"": 0.7013513513513514, ""4"": 0.7817460317460317, ""5"": 0.3675438596491228, ""6"": 0.2857142857142857}",False
ADI+CV2+std_sales+nonzero_mean,4,2,130,True,,0.40075237199831887,127.26434013633981,61,69,1:69;2:61,0.7619291106271284,0.8151759788503334,0.44773126753917636,0.9615364556824346,"{""1"": 0.9193548387096774, ""2"": 0.9107142857142857}",True
