period,scope,model,baseline,n_skus,mean_difference,ci_low,ci_high
development_origins_1_5,all,Naive,MA4_proxy,220,-0.2559924648623064,-0.649471256367846,0.08043711370497957
development_origins_1_5,all,SES,MA4_proxy,220,-0.12497949206384122,-0.4954187163460929,0.16979637232267963
development_origins_1_5,all,SES,Naive,220,0.13101297279846524,-0.031047687100527632,0.2855903298167601
development_origins_1_5,all,ADIDA2,MA4_proxy,220,0.3140558220558387,0.15029174209671198,0.4936453511766332
development_origins_1_5,all,ADIDA2,Naive,220,0.5700482869181452,0.1452220119698037,1.106297194638199
development_origins_1_5,all,SBA,MA4_proxy,207,-0.6552770821338755,-1.126460201427904,-0.20701027682602788
development_origins_1_5,all,SBA,Naive,207,-0.3906051388019556,-0.8295564261784127,-0.006581014414200813
development_origins_1_5,active_moderate_intermittent,Naive,MA4_proxy,111,-0.207856392483694,-0.8645400030466087,0.38572291649455376
development_origins_1_5,active_moderate_intermittent,SES,MA4_proxy,111,-0.1569700827941509,-0.6937452185070866,0.26599978010694
development_origins_1_5,active_moderate_intermittent,SES,Naive,111,0.050886309689543066,-0.22065015341298325,0.297204249088737
development_origins_1_5,active_moderate_intermittent,ADIDA2,MA4_proxy,111,0.18618218062092806,-0.127349446942432,0.48333657583367967
development_origins_1_5,active_moderate_intermittent,ADIDA2,Naive,111,0.3940385731046221,-0.5094558173567576,1.3178278894671291
development_origins_1_5,active_moderate_intermittent,SBA,MA4_proxy,111,-0.5230704710318868,-1.1530108686627023,-0.0665220333547672
development_origins_1_5,active_moderate_intermittent,SBA,Naive,111,-0.3152140785481927,-0.9816404133107127,0.2051745219352542
development_origins_1_5,highly_intermittent,Naive,MA4_proxy,88,-0.34374487699502865,-1.0786288614543376,0.32745534285637695
development_origins_1_5,highly_intermittent,SES,MA4_proxy,88,-0.060428656156534526,-0.7599371124093216,0.607850633133852
development_origins_1_5,highly_intermittent,SES,Naive,88,0.2833162208384943,0.09083916908265127,0.4965485322192752
development_origins_1_5,highly_intermittent,ADIDA2,MA4_proxy,88,0.42866289974358074,0.1436651677740594,0.7581369696564614
development_origins_1_5,highly_intermittent,ADIDA2,Naive,88,0.7724077767386096,-0.09511023753558456,1.6073546062662047
development_origins_1_5,highly_intermittent,SBA,MA4_proxy,88,-0.24525301874232772,-0.8934702698368691,0.22792980403110896
development_origins_1_5,highly_intermittent,SBA,Naive,88,0.09849185825270114,-0.6821780466691905,0.7950371064521017
exploratory_origin_6,all,Naive,MA4_proxy,131,0.46982800484389586,0.0830892366699164,0.9826370678434764
exploratory_origin_6,all,SES,MA4_proxy,131,0.4027055343041753,0.07899969131542835,0.8818790323312421
exploratory_origin_6,all,SES,Naive,131,-0.06712247053972047,-0.2385196343260122,0.08781554422750297
exploratory_origin_6,all,ADIDA2,MA4_proxy,131,0.008442003761668138,-0.16785422283813703,0.18251431795134784
exploratory_origin_6,all,ADIDA2,Naive,131,-0.4613860010822277,-1.0830193868546758,-0.007006999296667833
exploratory_origin_6,all,SBA,MA4_proxy,129,0.0998379481881318,-0.10162544080359932,0.2837651875570297
exploratory_origin_6,all,SBA,Naive,129,-0.36709979316497166,-0.8998750071570567,0.09058666513187803
exploratory_origin_6,active_moderate_intermittent,Naive,MA4_proxy,76,0.47452776756694226,-0.10894719136535397,1.2509575873566696
exploratory_origin_6,active_moderate_intermittent,SES,MA4_proxy,76,0.42437512390218785,-0.039270352720674556,1.174768358747971
exploratory_origin_6,active_moderate_intermittent,SES,Naive,76,-0.05015264366475436,-0.22837854422415188,0.14584523261564533
exploratory_origin_6,active_moderate_intermittent,ADIDA2,MA4_proxy,76,0.011096897088870131,-0.21437316817048338,0.17972029967341616
exploratory_origin_6,active_moderate_intermittent,ADIDA2,Naive,76,-0.4634308704780721,-1.346226814851236,0.20763713187430427
exploratory_origin_6,active_moderate_intermittent,SBA,MA4_proxy,76,0.06369291182815483,-0.1902476169586792,0.2906498634105787
exploratory_origin_6,active_moderate_intermittent,SBA,Naive,76,-0.4108348557387874,-1.1081551609292923,0.119204228876324
exploratory_origin_6,highly_intermittent,Naive,MA4_proxy,43,0.2232209890751622,-0.17608842897149346,0.7140666466967571
exploratory_origin_6,highly_intermittent,SES,MA4_proxy,43,0.13487207953155547,-0.05730734794239943,0.338213014079323
exploratory_origin_6,highly_intermittent,SES,Naive,43,-0.08834890954360669,-0.4985592142830626,0.2840801012041718
exploratory_origin_6,highly_intermittent,ADIDA2,MA4_proxy,43,-0.06869811788805748,-0.4045497364828538,0.2793520131601453
exploratory_origin_6,highly_intermittent,ADIDA2,Naive,43,-0.2919191069632197,-0.9648044930222287,0.33103368124799326
exploratory_origin_6,highly_intermittent,SBA,MA4_proxy,43,0.010068300382853156,-0.3116747538919981,0.3246836458981842
exploratory_origin_6,highly_intermittent,SBA,Naive,43,-0.21315268869230905,-0.8534253257667109,0.3551995941604751
