sku,full_cluster,min,max,size,calendar_group
LTKF0022,2,2024-01-01,2025-12-22,104,only_2024_2025
HWZDSKL0002,2,2024-01-01,2026-07-27,135,across_2024_2026
XYMGPD0002,1,2026-01-05,2026-07-27,30,only_2026
QFDNZGJK001,1,2026-01-05,2026-07-27,30,only_2026
DRMJJ0026,2,2024-01-01,2026-07-27,135,across_2024_2026
QFSJZ003-1,1,2024-01-01,2026-07-27,135,across_2024_2026
DRMJJ0020,2,2024-01-01,2025-12-22,104,only_2024_2025
FDBLHP0001,1,2024-01-01,2026-07-27,135,across_2024_2026
FRH0068,2,2024-01-01,2026-07-27,135,across_2024_2026
XGX9992,2,2026-01-05,2026-07-27,30,only_2026
DRMJJ0022,1,2024-01-01,2026-07-27,135,across_2024_2026
FRH0065,1,2024-01-01,2026-07-27,135,across_2024_2026
XGX9993,2,2026-01-05,2026-07-27,30,only_2026
JZJ0018,1,2024-01-01,2026-07-27,135,across_2024_2026
xgx0014,1,2026-01-05,2026-07-27,30,only_2026
FRH0034,1,2024-01-01,2026-07-27,135,across_2024_2026
xgx0015,1,2026-01-05,2026-07-27,30,only_2026
CLSSLT0003,2,2024-01-01,2026-07-27,135,across_2024_2026
xgx0016,1,2026-01-05,2026-07-27,30,only_2026
BLP0002,1,2024-01-01,2026-07-27,135,across_2024_2026
FRH0028,2,2024-01-01,2026-07-27,135,across_2024_2026
JZJ00011,1,2024-01-01,2026-07-27,135,across_2024_2026
YJLZHMV000AMDE,1,2024-01-01,2026-07-27,135,across_2024_2026
FZLRICBHP0001,1,2024-01-01,2026-07-27,135,across_2024_2026
KFYFQ51mm,1,2026-01-05,2026-07-27,30,only_2026
ZBTZ0003,2,2024-01-01,2026-07-27,135,across_2024_2026
SLT0003,2,2024-01-01,2026-07-27,135,across_2024_2026
FRH0050,1,2024-01-01,2026-07-27,135,across_2024_2026
JZJ0014,2,2024-01-01,2026-07-27,135,across_2024_2026
JZJ0016,1,2024-01-01,2026-07-27,135,across_2024_2026
JZJ0005,1,2024-01-01,2025-12-22,104,only_2024_2025
