sku,full_cluster,calendar_group,horizon_weeks,approximate_days,origin,tail_rank,origin_index,actual_sum,actual_event,training_weeks,training_start,training_last_week,dynamic_cluster,label_source,old_case_available,n,s,probability,laplace_probability,conditional_mean,scale_52,square_scale_52,scale_full,full_n,legacy_week_probability,legacy_positive_week_mean,tail4_identity,block_totals,full_block_totals,enterprise_probability,ma4_forecast,train_values,test_values
LTKF0022,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DRMJJ0020,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
JZJ0005,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FRH0029,2,only_2024_2025,13,91,2024-07-01,6,1,2.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,1,0.5,0.5,2.0,2.0,4.0,2.0,2,0.15384615384615385,1.0,3.25,"[0.0, 2.0]","[0.0, 2.0]",0.059278350515463915,3.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSJZ001-1,1,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LTKF0008,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ZJJYZSJBV1AMDE,2,only_2024_2025,13,91,2024-07-01,6,1,21.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 1, 5, 2, 3, 4, 1, 2, 0, 2, 1]"
QCXXC0001,2,only_2024_2025,13,91,2024-07-01,6,1,0.0,0,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
FRH0049,2,only_2024_2025,13,91,2024-07-01,6,1,5.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,1,0.5,0.5,1.0,1.0,1.0,1.0,2,0.07692307692307693,1.0,3.25,"[0.0, 1.0]","[0.0, 1.0]",0.059278350515463915,3.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0]"
ZJJSJBV001AMDE,2,only_2024_2025,13,91,2024-07-01,6,1,14.0,1,26,2024-01-01,2024-06-24,0,new_origin_training_only,False,2,0,0.0,0.25,,0.0,0.0,0.0,2,0.0,,0.0,"[0.0, 0.0]","[0.0, 0.0]",0.061855670103092786,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 3, 0, 0, 1, 4, 2, 0, 0, 1, 1, 2]"
