cohort,horizon_weeks,method,metric,n_pairs,n_skus,delta,ci_low,ci_high,pair_win_share,pair_tie_share,mean_model,median_model,bias_model,under_units_model,over_units_model,mase_lt1_model,mean_ma4,median_ma4,bias_ma4,under_units_ma4,over_units_ma4,mase_lt1_ma4
active120,4,BlockFrequencyMean,mase_52,495,90,-0.04139050992407111,-0.18575472332181733,0.10034838631323884,0.4101010101010101,0.010101010101010102,1.638335939419546,0.8822984244670992,-0.06932856349687058,3253.835897435897,2690.3333333333335,0.5757575757575758,1.6797264493436168,0.7058823529411765,0.010850206224221967,2713.25,2801.440476190476,0.6060606060606061
active120,4,BlockFrequencyMean,mase_full,496,90,-0.03766803979192665,-0.24995896873164478,0.15763092315345587,0.4092741935483871,0.012096774193548387,2.3568504948762232,1.3265054390054392,-0.0694430513104397,3254.835897435897,2690.333333333333,,2.3945185346681495,1.021467251160392,0.010725855110158224,2714.25,2801.440476190476,
active120,4,BlockFrequencyMean,ae,540,90,0.7953310269976938,-1.0537230870980876,2.7060706145706135,0.37592592592592594,0.09259259259259259,11.542905982905982,5.801282051282051,-0.08924366272563615,3492.835897435897,2740.333333333333,,10.74757495590829,4.5,-0.01195558868708773,2952.25,2851.440476190476,
active120,4,LaplaceMean,mase_52,495,90,-0.07053029516543409,-0.2045509225687612,0.0594527976779235,0.43434343434343436,0.00202020202020202,1.6091961541781832,0.8402366863905325,-0.12227381031930122,3413.66807026307,2419.82653998779,0.6060606060606061,1.6797264493436168,0.7058823529411765,0.010850206224221967,2713.25,2801.440476190476,0.6060606060606061
active120,4,LaplaceMean,mase_full,495,90,-0.08629596375508111,-0.28695961044367996,0.09804914127111784,0.43434343434343436,0.00202020202020202,2.3079744831513938,1.2365017361111112,-0.12227381031930122,3413.66807026307,2419.82653998779,,2.394270446906475,1.0357142857142858,0.010850206224221967,2713.25,2801.440476190476,
active120,4,LaplaceMean,ae,508,90,0.35341862715473843,-1.448208647097073,2.2749059919846952,0.43503937007874016,0.001968503937007874,11.56247506454451,5.71875,-0.12880625718071356,3511.66807026307,2445.409873321123,,11.209056437389771,5.0,0.006425522613007521,2798.25,2851.440476190476,
active120,4,LegacyPXQ,mase_52,495,90,0.16525720274904612,-0.10116497150265205,0.6578709573678572,0.3696969696969697,0.23232323232323232,1.8449836520926632,0.8235294117647058,-0.048186389037115473,2853.7176556290965,2462.058685535422,0.5717171717171717,1.6797264493436168,0.7058823529411765,0.010850206224221967,2713.25,2801.440476190476,0.6060606060606061
active120,4,LegacyPXQ,mase_full,496,90,-0.07983445718783867,-0.2279874133304964,0.06930469724410485,0.3689516129032258,0.23387096774193547,2.3146840774803112,1.1764705882352942,-0.04830347768405396,2854.717655629097,2462.058685535422,,2.3945185346681495,1.021467251160392,0.010725855110158224,2714.25,2801.440476190476,
active120,4,LegacyPXQ,ae,509,90,-0.4422048208887519,-2.067058720042819,0.8750429955491766,0.36738703339882123,0.24361493123772102,10.7683330979825,5.5,-0.05241683417002954,2936.9676556290965,2503.008685535422,,11.210537918871253,5.0,0.006303958955245337,2799.25,2851.440476190476,
active120,4,Naive,mase_52,495,90,0.015903526163904478,-0.17045535784646612,0.2074095000334642,0.37373737373737376,0.26262626262626265,1.6956299755075217,0.6605504587155963,0.05364173228346457,2940.0,3376.0,0.597979797979798,1.6797264493436168,0.7058823529411765,0.010850206224221967,2713.25,2801.440476190476,0.6060606060606061
active120,4,Naive,mase_full,496,90,-0.02219097017738774,-0.26733823057448797,0.20881375636557667,0.37298387096774194,0.26411290322580644,2.3723275644907624,0.9721968611881249,0.05351211711157584,2941.0,3376.0,,2.3945185346681495,1.021467251160392,0.010725855110158224,2714.25,2801.440476190476,
active120,4,Naive,ae,540,90,1.51168430335097,-0.4045822310405643,4.360028108465609,0.3537037037037037,0.30185185185185187,12.259259259259258,4.5,0.02988614800759013,3184.0,3436.0,,10.74757495590829,4.5,-0.01195558868708773,2952.25,2851.440476190476,
active120,9,BlockFrequencyMean,mase_52,452,115,0.5317804053369729,0.21968770813203814,0.847409207809158,0.4336283185840708,0.0,6.741241018898969,0.8815094339622642,-0.11989683169525668,6828.9,4864.87,0.5420353982300885,6.209460613561996,0.8448763955342903,-0.06867178438434772,5872.1,4747.1875,0.5464601769911505
active120,9,BlockFrequencyMean,mase_full,460,117,0.8552775121807742,0.36001552523195757,1.4215629964813872,0.4260869565217391,0.017391304347826087,13.229576383330917,1.4130252100840337,-0.11995055548773044,6829.9,4864.870000000001,,12.374298871150144,1.3482954545454546,-0.06872863508729092,5873.1,4747.1875,
active120,9,BlockFrequencyMean,ae,504,120,3.8341076388888884,1.0230320312499999,7.26338532986111,0.40674603174603174,0.06746031746031746,23.458986111111113,12.5,-0.14376262333139875,7471.9,4994.87,,19.62487847222222,11.375,-0.09092643644805572,6484.1,4917.4375,
active120,9,LaplaceMean,mase_52,452,115,0.4919237141946208,0.23674970195263897,0.7762790984653563,0.4579646017699115,0.0,6.701384327756617,0.8962397179788484,-0.2093887517768844,7392.553571428571,3962.556428571428,0.5663716814159292,6.209460613561996,0.8448763955342903,-0.06867178438434772,5872.1,4747.1875,0.5464601769911505
active120,9,LaplaceMean,mase_full,452,115,0.7992361993932448,0.3505142401586405,1.3569994246856756,0.4579646017699115,0.0,13.388634223763818,1.3875661375661377,-0.2093887517768844,7392.553571428571,3962.556428571428,,12.589398024370572,1.3875264611962255,-0.06867178438434772,5872.1,4747.1875,
active120,9,LaplaceMean,ae,470,115,3.335518461007591,0.48463693926846074,6.741786141304347,0.46595744680851064,0.0,24.03379744651484,12.452380952380953,-0.21619353577590236,7653.2202380952385,4019.223095238095,,20.698278985507244,11.75,-0.06815768338390148,6063.1,4917.4375,
active120,9,LegacyPXQ,mase_52,452,115,0.34519396542087993,0.028796697896367268,0.6669847666610552,0.415929203539823,0.13053097345132744,6.554654578982877,0.9185409457900808,-0.027141445746752372,5389.252936234726,4944.648913457175,0.5287610619469026,6.209460613561996,0.8448763955342903,-0.06867178438434772,5872.1,4747.1875,0.5464601769911505
active120,9,LegacyPXQ,mase_full,460,117,0.44390410588591517,0.08386678272077028,0.8134483077656589,0.40869565217391307,0.14565217391304347,12.81820297703606,1.4992060727911722,-0.02720083156986637,5390.252936234727,4944.648913457175,,12.374298871150144,1.3482954545454546,-0.06872863508729092,5873.1,4747.1875,
active120,9,LegacyPXQ,ae,478,117,0.2902343269343971,-1.9580530085635288,2.2546382379155907,0.41422594142259417,0.1401673640167364,20.636121079071145,12.1625,-0.03138840497992956,5600.75942974122,5073.120342028604,,20.345886752136753,11.5,-0.06821311719214752,6064.1,4917.4375,
active120,9,Naive,mase_52,452,115,-0.370173281837698,-1.0069126469547767,0.13872173845400085,0.34513274336283184,0.24557522123893805,5.839287331724299,0.8796052631578948,-0.08741835052805079,6483.0,5051.0,0.5243362831858407,6.209460613561996,0.8448763955342903,-0.06867178438434772,5872.1,4747.1875,0.5464601769911505
active120,9,Naive,mase_full,460,117,-0.7355493812993464,-2.028212924426061,0.23073338334846677,0.3391304347826087,0.25869565217391305,11.638749489850799,1.4047299270072993,-0.08747405689171041,6484.0,5051.0,,12.374298871150144,1.3482954545454546,-0.06872863508729092,5873.1,4747.1875,
active120,9,Naive,ae,504,120,3.0862326388888888,0.7684253472222221,5.680782552083333,0.31547619047619047,0.29365079365079366,22.71111111111111,12.0,-0.10574579222286709,7204.0,5382.0,,19.62487847222222,11.375,-0.09092643644805572,6484.1,4917.4375,
active120,13,BlockFrequencyMean,mase_52,400,93,0.5384311107162478,0.25822262547541885,0.8391561030394015,0.415,0.005,3.565121601864111,0.9403389830508474,-0.25415838381926037,10517.445833333333,5147.5875,0.525,3.026690491147862,0.92875,0.040890642748958726,6391.75,7255.6875,0.5075
active120,13,BlockFrequencyMean,mase_full,400,93,0.7299457225063951,0.26409703038476406,1.220682558766749,0.415,0.005,5.600538550202478,1.239206036745407,-0.25415838381926037,10517.445833333333,5147.5875,,4.870592827696082,1.2559474422064545,0.040890642748958726,6391.75,7255.6875,
active120,13,BlockFrequencyMean,ae,510,120,2.2920081018518514,-1.903663773148148,6.531682725694444,0.34705882352941175,0.18235294117647058,32.279768518518516,16.75,-0.28660599075000365,11974.445833333333,5385.0875,,29.987760416666667,15.125,-0.005146035405158541,7834.75,7716.4375,
active120,13,LaplaceMean,mase_52,400,93,0.4769119697901057,0.19414886063676412,0.7779103193727667,0.4375,0.0025,3.50360246093797,0.9188172043010752,-0.34291803399385756,11329.48611111111,4084.313888888889,0.5425,3.026690491147862,0.92875,0.040890642748958726,6391.75,7255.6875,0.5075
active120,13,LaplaceMean,mase_full,400,93,0.6486677433360232,0.1840590016357134,1.138385695509753,0.4375,0.0025,5.519260571032104,1.177801724137931,-0.34291803399385756,11329.48611111111,4084.313888888889,,4.870592827696082,1.2559474422064545,0.040890642748958726,6391.75,7255.6875,
active120,13,LaplaceMean,ae,419,112,1.5594643890542323,-2.698279286541005,6.695359248408564,0.4486873508353222,0.002386634844868735,34.26040374917328,18.444444444444443,-0.3421664010949725,11662.819444444443,4218.647222222222,,32.70093936011905,17.5,0.05132779463136606,6599.75,7716.4375,
