origin,training_rows,requests,eligible,new_dynamic_labels,v2_corrected_intervals
2024-07-01,5070,65,65,6,0
2024-09-30,7605,65,65,37,2
2024-12-16,9750,65,65,55,5
2024-12-30,10140,65,65,57,4
2025-02-03,11115,132,100,0,7
2025-02-17,11505,65,65,67,7
2025-03-31,12675,65,65,76,7
2025-04-21,13260,65,65,83,9
2025-05-05,13650,132,100,0,11
2025-06-23,15015,65,65,99,11
2025-06-30,15210,65,65,99,12
2025-07-14,15600,65,65,108,13
2025-07-21,15795,132,100,0,13
2025-08-04,16185,132,100,0,13
2025-08-11,16380,65,65,117,14
2025-08-25,16770,65,65,126,15
2025-09-08,17160,65,65,131,16
2025-09-22,17550,132,100,0,18
2025-09-29,17745,65,65,136,17
2025-10-06,17940,65,65,137,19
2025-10-27,18525,65,65,146,19
2025-11-03,18720,197,165,147,19
2025-11-24,19305,132,100,0,19
2025-12-01,19500,65,65,151,20
2026-01-26,20821,132,100,0,26
2026-02-02,20968,132,132,0,28
2026-02-16,21262,132,132,0,30
2026-03-16,21850,132,132,0,31
2026-03-30,22144,132,132,0,29
2026-04-13,22438,132,132,0,31
2026-05-04,22879,132,132,0,34
2026-05-11,23026,132,132,0,34
2026-06-01,23467,132,132,0,38
2026-06-08,23614,132,132,0,35
2026-07-06,24202,132,132,0,41
