cohort,horizon_weeks,method,baseline,n_pairs,n_skus,delta,ci_low,ci_high
active120,4,BlockFrequency,Laplace,720,120,0.00955044739994946,0.0038540080233961833,0.015002232308830004
active120,4,BlockFrequency,EnterpriseFrequency,720,120,-0.011247740546389284,-0.03334728387124356,0.011174323198366023
active120,9,BlockFrequency,Laplace,624,120,0.027141085600907056,0.013690737788170848,0.04145269687736208
active120,9,BlockFrequency,EnterpriseFrequency,624,120,0.01361425875779226,-0.013255212877049833,0.04348639071307006
active120,13,BlockFrequency,Laplace,600,120,0.04415470679012346,0.02257453703703705,0.06921405285493828
active120,13,BlockFrequency,EnterpriseFrequency,600,120,0.04319585682249027,0.004184342720488037,0.08696573232584955
sparse77,4,BlockFrequency,Laplace,462,77,0.006517885586272523,0.00182960438932031,0.011737068670852488
sparse77,4,BlockFrequency,EnterpriseFrequency,462,77,-0.0073970357001416865,-0.030609855387642968,0.016546403782205125
sparse77,9,BlockFrequency,Laplace,430,77,0.05200971081073126,0.03856210703978566,0.06704689938746065
sparse77,9,BlockFrequency,EnterpriseFrequency,430,77,0.08472744863888589,0.056174858356791514,0.1193405840122602
sparse77,13,BlockFrequency,Laplace,422,77,0.08407166907166908,0.055391925204425214,0.11677108886483886
sparse77,13,BlockFrequency,EnterpriseFrequency,422,77,0.11215616047390525,0.06773060125834104,0.1693768952363706
