cohort,horizon_weeks,method,dynamic_cluster,n,n_skus,mean_probability,actual_rate,gap,brier,ece,auc,ma4_score_auc
active120,4,BlockFrequency,0,77,29,0.438780577659888,0.771264367816092,-0.33248379015620394,0.3158399145676996,0.34627689360447983,0.8248283144485469,0.8656284402639127
active120,4,BlockFrequency,1,589,118,0.6737657540199913,0.6036723163841807,0.07009343763581052,0.16455702695223556,0.07296899898594815,0.8375217754854475,0.845354529751241
active120,4,BlockFrequency,2,54,29,0.5866489832007074,0.6471264367816092,-0.06047745358090187,0.25376680496043896,0.2311229000884174,0.6569795361054379,0.8643319582737892
active120,4,EnterpriseFrequency,0,77,29,0.5604711307867674,0.771264367816092,-0.21079323702932454,0.22696144178110458,0.21079323702932456,0.4247129836964255,0.8656284402639127
active120,4,EnterpriseFrequency,1,589,118,0.5613957723746685,0.6036723163841807,-0.0422765440095122,0.19823737614980766,0.11723073246186594,0.6707672091790727,0.845354529751241
active120,4,EnterpriseFrequency,2,54,29,0.5187143053820777,0.6471264367816092,-0.12841213139953148,0.23659679105522805,0.1434649498179085,0.6079055316736192,0.8643319582737892
active120,4,Laplace,0,77,29,0.4134332238642582,0.771264367816092,-0.3578311439518336,0.2799614805692392,0.3578311439518336,0.7554491908124827,0.8656284402639127
active120,4,Laplace,1,589,118,0.6425306026365347,0.6036723163841807,0.03885828625235402,0.16167614051270224,0.0623715361850955,0.8402535712129664,0.845354529751241
active120,4,Laplace,2,54,29,0.5370689655172414,0.6471264367816092,-0.11005747126436782,0.2435335249042146,0.19358237547892723,0.6157566781029964,0.8643319582737892
active120,9,BlockFrequency,0,83,45,0.20333333333333334,0.8392592592592593,-0.6359259259259259,0.5721481481481482,0.635925925925926,0.7825300678025388,0.7879523389232126
active120,9,BlockFrequency,1,433,111,0.784864864864865,0.7462462462462462,0.03861861861861862,0.1717867867867868,0.09639639639639641,0.7237890657554787,0.7809129927493955
active120,9,BlockFrequency,2,108,46,0.5249275362318839,0.7800724637681159,-0.25514492753623175,0.2462753623188405,0.334855072463768,0.6666266219083598,0.7963834992130056
active120,9,EnterpriseFrequency,0,83,45,0.45550494101439115,0.8392592592592593,-0.38375431824486805,0.29150318272792214,0.3837543182448681,0.6950894001081912,0.7879523389232126
active120,9,EnterpriseFrequency,1,433,111,0.615724497886525,0.7462462462462462,-0.1305217483597212,0.19187285608330767,0.13052174835972116,0.660914123796029,0.7809129927493955
active120,9,EnterpriseFrequency,2,108,46,0.48559576031345186,0.7800724637681159,-0.29447670345466387,0.2747555187385568,0.2944767034546638,0.5339746616154156,0.7963834992130056
active120,9,Laplace,0,83,45,0.28716931216931213,0.8392592592592593,-0.5520899470899472,0.43138542454018647,0.5520899470899471,0.7443987659693891,0.7879523389232126
active120,9,Laplace,1,433,111,0.6826683826683826,0.7462462462462462,-0.0635778635778636,0.16458703601560742,0.0635778635778636,0.7293734596930688,0.7809129927493955
active120,9,Laplace,2,108,46,0.5178053830227741,0.7800724637681159,-0.2622670807453415,0.23326678497485945,0.31268115942028973,0.6666266219083598,0.7963834992130056
active120,13,BlockFrequency,0,179,75,0.103,0.7364444444444445,-0.6334444444444445,0.5845648148148148,0.6334444444444446,0.6837658418829208,0.6617380808690403
active120,13,BlockFrequency,1,338,99,0.7745370370370371,0.8363636363636365,-0.06182659932659932,0.15816147586980922,0.12916666666666665,0.6832530665394323,0.8674305679807559
active120,13,BlockFrequency,2,83,51,0.6170751633986927,0.9071895424836601,-0.29011437908496734,0.23796977124183008,0.37769607843137254,0.5528054856516621,0.9363888663392458
active120,13,EnterpriseFrequency,0,179,75,0.305566156378324,0.7364444444444445,-0.4308782880661204,0.36997735473548116,0.4308782880661204,0.6747708378070039,0.6617380808690403
active120,13,EnterpriseFrequency,1,338,99,0.5976863995933962,0.8363636363636365,-0.23867723677024014,0.18551860704440612,0.23867723677024014,0.7620852675228444,0.8674305679807559
active120,13,EnterpriseFrequency,2,83,51,0.525451291811265,0.9071895424836601,-0.38173825067239503,0.30396281646800943,0.381738250672395,0.37517250476924946,0.9363888663392458
active120,13,Laplace,0,179,75,0.2565111111111111,0.7364444444444445,-0.4799333333333334,0.40424481481481483,0.4799333333333334,0.7110012100537244,0.6617380808690403
active120,13,Laplace,1,338,99,0.6695286195286195,0.8363636363636365,-0.16683501683501684,0.16457800224466893,0.16750841750841752,0.6587505715592131,0.8674305679807559
active120,13,Laplace,2,83,51,0.5486383442265795,0.9071895424836601,-0.3585511982570807,0.22782316630355848,0.38044662309368193,0.5544797966473191,0.9363888663392458
sparse77,4,BlockFrequency,0,66,17,0.24470085470085465,0.6882352941176471,-0.4435344394167924,0.3960167266117493,0.4435344394167924,0.7901234567901236,0.7901682524324036
sparse77,4,BlockFrequency,1,22,21,0.4780219780219781,0.3333333333333333,0.14468864468864467,0.3084319526627219,0.2032967032967033,0.5204081632653061,0.7193877551020409
sparse77,4,BlockFrequency,2,374,70,0.4004181929181928,0.3028571428571428,0.09756105006105004,0.20241702670548825,0.09756105006105005,0.6894895736673878,0.7544945301491557
sparse77,4,EnterpriseFrequency,0,66,17,0.5305196000878739,0.6882352941176471,-0.15771569402977315,0.3061481491926046,0.28086649237066874,0.37797667042950067,0.7901682524324036
sparse77,4,EnterpriseFrequency,1,22,21,0.48102101291916727,0.3333333333333333,0.1476876795858339,0.2492369825224677,0.14768767958583387,0.5,0.7193877551020409
sparse77,4,EnterpriseFrequency,2,374,70,0.4853223637333517,0.3028571428571428,0.18246522087620884,0.2228789016930826,0.19469125071843058,0.6507033585936691,0.7544945301491557
sparse77,4,Laplace,0,66,17,0.2910924369747899,0.6882352941176471,-0.3971428571428572,0.3576682395180295,0.3971428571428572,0.6460606712179042,0.7901682524324036
sparse77,4,Laplace,1,22,21,0.47142857142857153,0.3333333333333333,0.13809523809523808,0.2825925925925926,0.2396825396825397,0.5153061224489796,0.7193877551020409
sparse77,4,Laplace,2,374,70,0.41152607709750566,0.3028571428571428,0.10866893424036278,0.20131978593024513,0.11095464852607709,0.689494272390624,0.7544945301491557
sparse77,9,BlockFrequency,0,133,51,0.20738562091503268,0.7843137254901961,-0.5769281045751634,0.506202614379085,0.5769281045751634,0.7050189393939393,0.6324084595959597
sparse77,9,BlockFrequency,1,20,16,0.83125,0.46875,0.36250000000000004,0.4075,0.4375,0.5333333333333333,0.7745098039215685
sparse77,9,BlockFrequency,2,277,64,0.57625,0.4864583333333334,0.08979166666666667,0.2634166666666667,0.12218750000000003,0.6130611755150267,0.779962298734749
sparse77,9,EnterpriseFrequency,0,133,51,0.4248671269122772,0.7843137254901961,-0.35944659857791883,0.31528044533149124,0.36208087512146386,0.58528125,0.6324084595959597
sparse77,9,EnterpriseFrequency,1,20,16,0.5963648216209468,0.46875,0.12761482162094687,0.33041172813416053,0.2867489864252148,0.3764705882352941,0.7745098039215685
sparse77,9,EnterpriseFrequency,2,277,64,0.5211905299737669,0.4864583333333334,0.03473219664043348,0.24462769239546547,0.136091856446224,0.601949509405771,0.779962298734749
sparse77,9,Laplace,0,133,51,0.29495798319327726,0.7843137254901961,-0.48935574229691875,0.3967737094837936,0.48935574229691875,0.6842424242424241,0.6324084595959597
sparse77,9,Laplace,1,20,16,0.7139136904761905,0.46875,0.24516369047619044,0.31553376558956914,0.24516369047619047,0.5372549019607843,0.7745098039215685
sparse77,9,Laplace,2,277,64,0.5544642857142857,0.4864583333333334,0.06800595238095236,0.2461734693877551,0.07425595238095244,0.6130611755150267,0.779962298734749
sparse77,13,BlockFrequency,0,212,72,0.13150077160493825,0.6791666666666667,-0.5476658950617284,0.4979664994855967,0.5476658950617285,0.6874939137209075,0.6481029006591379
sparse77,13,BlockFrequency,1,15,12,0.5104166666666666,0.8333333333333334,-0.3229166666666667,0.3631365740740741,0.4756944444444445,0.26875,0.64375
sparse77,13,BlockFrequency,2,195,67,0.621952736318408,0.543781094527363,0.07817164179104477,0.25911587893864013,0.11573383084577114,0.6103481708223539,0.7693589671958263
