cohort,horizon_weeks,method,scope,n,n_skus,mean_probability,actual_rate,gap,brier,ece,auc,ma4_score_auc
active120,4,BlockFrequency,all,720,120,0.644775641025641,0.6333333333333333,0.0114423076923077,0.1879053482723355,0.08686965811965813,0.792991593567249,0.8581372939925553
active120,4,BlockFrequency,ma4_zero,256,77,0.427000777000777,0.37835497835497833,0.04864579864579864,0.3033675370213832,0.2063214563214563,0.5284374940242091,0.5
active120,4,EnterpriseFrequency,all,720,120,0.5577893989533426,0.6333333333333333,-0.07554393437999075,0.19915308881872473,0.11559261708331263,0.6826862373737355,0.8581372939925553
active120,4,EnterpriseFrequency,ma4_zero,256,77,0.5236079527573881,0.37835497835497833,0.14525297440240992,0.22427595530659983,0.16606724259298997,0.6335070362945631,0.5
active120,4,Laplace,all,720,120,0.6220287698412698,0.6333333333333333,-0.011304563492063517,0.178354900872386,0.036893187830687846,0.7945158825093012,0.8581372939925553
active120,4,Laplace,ma4_zero,256,77,0.4580787466501753,0.37835497835497833,0.07972376829519684,0.27252215424409304,0.15865079365079365,0.5429882460177328,0.5
active120,9,BlockFrequency,all,624,120,0.6706944444444445,0.7555555555555554,-0.0848611111111111,0.22937500000000002,0.19763888888888892,0.6863354361630998,0.8228609625668433
active120,9,BlockFrequency,ma4_zero,203,77,0.4665800865800866,0.5569264069264069,-0.09034632034632034,0.41625974025974033,0.35103896103896104,0.47430467572102225,0.5
active120,9,EnterpriseFrequency,all,624,120,0.5777254640512327,0.7555555555555554,-0.17783009150432266,0.21576074124220776,0.1778300915043226,0.6423901236630997,0.8228609625668433
active120,9,EnterpriseFrequency,ma4_zero,203,77,0.5330612361038459,0.5569264069264069,-0.023865170822561014,0.2401276626162234,0.10691360366755373,0.6286961989819116,0.5
active120,9,Laplace,all,624,120,0.605704365079365,0.7555555555555554,-0.1498511904761905,0.20223391439909297,0.1498511904761905,0.6823090741978595,0.8228609625668433
