full_cluster,horizon_weeks,dimension,layer,metric,n,n_skus,mean_model,mean_ma4,delta,ci_low,ci_high,pair_win_share,pair_tie_share
1,4,calendar_group,across_2024_2026,ae,395,66,12.815773115773116,11.47068302068302,1.345090095090095,-1.1898493751618753,4.086362399174898,0.4050632911392405,0.007594936708860759
1,4,calendar_group,across_2024_2026,mase_52,395,66,1.3573308414789342,1.3471771745106065,0.010153666968327741,-0.1371670568705349,0.1584782502543352,0.4050632911392405,0.007594936708860759
1,4,calendar_group,only_2024_2025,ae,156,30,9.928974358974358,4.533333333333333,5.395641025641026,2.3350000000000004,9.26272863247863,0.1346153846153846,0.0
1,4,calendar_group,only_2024_2025,mase_52,156,30,2.4515321766296707,1.6036423250006198,0.8478898516290508,0.5502051536189062,1.1354168058506617,0.1346153846153846,0.0
1,4,calendar_group,only_2026,ae,113,24,9.00480324074074,10.489583333333334,-1.4847800925925927,-2.780597800925926,-0.24347743055555587,0.3805309734513274,0.13274336283185842
1,4,calendar_group,only_2026,mase_52,100,24,2.411099958756229,2.594236955134397,-0.18313699637816794,-0.5729838353900093,0.1389026315928367,0.43,0.02
1,9,calendar_group,across_2024_2026,ae,381,66,26.165555555555557,25.55808080808081,0.6074747474747475,-2.6775492424242424,4.08307828282828,0.46981627296587924,0.0
1,9,calendar_group,across_2024_2026,mase_52,381,66,2.8465801503371417,2.6521006005567855,0.19447954978035714,0.029459580065227666,0.36739668507565154,0.46981627296587924,0.0
1,9,calendar_group,only_2024_2025,ae,141,30,21.658555555555555,27.296805555555558,-5.638250000000002,-22.181485416666668,7.1298131944444405,0.24822695035460993,0.0
1,9,calendar_group,only_2024_2025,mase_52,141,30,1.9189969869204275,2.05196791436616,-0.13297092744573172,-0.9637965336575602,0.5809590924742417,0.24822695035460993,0.0
1,9,calendar_group,only_2026,ae,40,22,20.02840909090909,18.765625,1.2627840909090908,-3.1987215909090905,5.78025568181818,0.45,0.0
1,9,calendar_group,only_2026,mase_52,22,22,3.8795454571706767,3.2221127941297123,0.6574326630409644,-0.38741347000674886,1.8810109504769328,0.4090909090909091,0.0
