cohort,horizon_weeks,method,bin,n,n_skus,mean_probability,actual_rate
active120,4,BlockFrequency,0,91,26,0.04677373908143138,0.2857142857142857
active120,4,BlockFrequency,1,90,30,0.3122792022792022,0.36666666666666664
active120,4,BlockFrequency,2,83,38,0.49981464318813723,0.5060240963855421
active120,4,BlockFrequency,3,171,56,0.6891587944219523,0.5789473684210527
active120,4,BlockFrequency,4,285,66,0.956302294197031,0.8982456140350877
active120,4,EnterpriseFrequency,1,180,30,0.33009736540664375,0.25
active120,4,EnterpriseFrequency,2,61,61,0.5979387051170297,0.8524590163934426
active120,4,EnterpriseFrequency,3,479,90,0.6382392076431566,0.7494780793319415
active120,4,Laplace,0,46,15,0.10041407867494816,0.2826086956521739
active120,4,Laplace,1,101,37,0.2802451673738802,0.3069306930693069
active120,4,Laplace,2,122,44,0.4754488680718189,0.47540983606557374
active120,4,Laplace,3,196,62,0.6694241982507289,0.6224489795918368
active120,4,Laplace,4,255,62,0.8851960784313726,0.9098039215686274
active120,9,BlockFrequency,0,62,33,0.0,0.43548387096774194
active120,9,BlockFrequency,1,60,52,0.19999999999999993,0.6833333333333333
active120,9,BlockFrequency,2,87,66,0.4057471264367815,0.6206896551724138
active120,9,BlockFrequency,3,85,65,0.6,0.7411764705882353
active120,9,BlockFrequency,4,330,97,0.9381818181818182,0.8515151515151516
active120,9,EnterpriseFrequency,0,30,30,0.180893470790378,0.5333333333333333
active120,9,EnterpriseFrequency,1,156,96,0.34693365054189795,0.6474358974358975
active120,9,EnterpriseFrequency,2,192,96,0.4532914518900344,0.703125
active120,9,EnterpriseFrequency,3,153,90,0.771506467469133,0.8888888888888888
active120,9,EnterpriseFrequency,4,93,90,0.8023837540670241,0.8387096774193549
active120,9,Laplace,0,54,27,0.14285714285714274,0.3888888888888889
active120,9,Laplace,1,68,58,0.2888655462184873,0.6911764705882353
active120,9,Laplace,2,172,78,0.5012458471760797,0.6802325581395349
active120,9,Laplace,3,137,85,0.7124608967674662,0.7591240875912408
active120,9,Laplace,4,193,62,0.8571428571428571,0.917098445595855
