sku,n,mean_delta,method,metric,cohort,horizon_weeks
BLP0001,6,-0.5331909847810284,BlockFrequencyMean,mase_52,active120,4
BLP0002,6,-0.27524947173005426,BlockFrequencyMean,mase_52,active120,4
CWW0002,6,0.7172866671927919,BlockFrequencyMean,mase_52,active120,4
DHZXCZP0001,6,0.2515391914848437,BlockFrequencyMean,mase_52,active120,4
DRMJJ0022,6,-0.1765614497519846,BlockFrequencyMean,mase_52,active120,4
DRMJJ0023,6,0.40175166918508426,BlockFrequencyMean,mase_52,active120,4
ETZP0003,6,-1.7894698793193207,BlockFrequencyMean,mase_52,active120,4
ETZP0004,6,0.18544477444226862,BlockFrequencyMean,mase_52,active120,4
FDBLHP0001,6,0.035235688573300915,BlockFrequencyMean,mase_52,active120,4
FDBLP0001,6,-0.35827998854939747,BlockFrequencyMean,mase_52,active120,4
FRC0002,4,1.142769422159843,BlockFrequencyMean,mase_52,active120,4
FRC0003,6,-0.6386437634039396,BlockFrequencyMean,mase_52,active120,4
FRH0001,6,2.1285455757206315,BlockFrequencyMean,mase_52,active120,4
FRH0002,6,1.2672380090510513,BlockFrequencyMean,mase_52,active120,4
FRH0003,6,2.091381804273565,BlockFrequencyMean,mase_52,active120,4
FRH0004,6,1.6864749285801919,BlockFrequencyMean,mase_52,active120,4
FRH0033,6,0.3315019708034586,BlockFrequencyMean,mase_52,active120,4
FRH0034,6,0.7306667255126981,BlockFrequencyMean,mase_52,active120,4
FRH0040,6,1.1624856516916877,BlockFrequencyMean,mase_52,active120,4
FRH0045,6,0.5856340994916567,BlockFrequencyMean,mase_52,active120,4
FRH0046,6,0.6851826863480958,BlockFrequencyMean,mase_52,active120,4
FRH0048,6,-0.0032255918749549695,BlockFrequencyMean,mase_52,active120,4
FRH0050,6,0.8124367939752556,BlockFrequencyMean,mase_52,active120,4
FRH0051,6,0.24630128217971062,BlockFrequencyMean,mase_52,active120,4
FRH0056,6,0.05970454923715776,BlockFrequencyMean,mase_52,active120,4
FRH0059,6,-0.13142692870614367,BlockFrequencyMean,mase_52,active120,4
FRH0064,6,1.09068170154143,BlockFrequencyMean,mase_52,active120,4
FRH0065,6,-0.31483278626135774,BlockFrequencyMean,mase_52,active120,4
FRW0005,6,-0.3057360879574503,BlockFrequencyMean,mase_52,active120,4
FRW0006,6,1.0496783377775045,BlockFrequencyMean,mase_52,active120,4
FRW0013,2,0.9650349650349652,BlockFrequencyMean,mase_52,active120,4
FRW0015,6,-0.3245511629186264,BlockFrequencyMean,mase_52,active120,4
FRW0017,3,1.0532544378698225,BlockFrequencyMean,mase_52,active120,4
FRW0024,6,-0.4306068257312039,BlockFrequencyMean,mase_52,active120,4
FZLRICBHP0001,6,-0.5893259127501195,BlockFrequencyMean,mase_52,active120,4
FZLRJ0001,6,-0.19641517268566766,BlockFrequencyMean,mase_52,active120,4
FZLRJ0002,6,0.6102759335057545,BlockFrequencyMean,mase_52,active120,4
FZLRJ0005,5,-0.13330827067669174,BlockFrequencyMean,mase_52,active120,4
GJMJSLW001,6,0.6543572174545028,BlockFrequencyMean,mase_52,active120,4
GJMJWJX001,6,1.1928830431966222,BlockFrequencyMean,mase_52,active120,4
GJMJWJXW001,6,0.738176876680167,BlockFrequencyMean,mase_52,active120,4
HLGKSLT0001,6,0.3275425464516754,BlockFrequencyMean,mase_52,active120,4
HWZDSKL0001,6,0.1834077188164335,BlockFrequencyMean,mase_52,active120,4
HZSN0001,6,-0.018613146131389882,BlockFrequencyMean,mase_52,active120,4
JZJ00011,6,0.26459353271953284,BlockFrequencyMean,mase_52,active120,4
JZJ00012,6,0.4429143397433422,BlockFrequencyMean,mase_52,active120,4
JZJ0002,6,0.2751692945898767,BlockFrequencyMean,mase_52,active120,4
JZJ0003,6,0.983422654903634,BlockFrequencyMean,mase_52,active120,4
JZJ0005,6,0.12080394503433267,BlockFrequencyMean,mase_52,active120,4
JZJ0008,6,0.6645580506195798,BlockFrequencyMean,mase_52,active120,4
JZJ0009,6,-0.09675159954665875,BlockFrequencyMean,mase_52,active120,4
JZJ0013,6,0.8980767721351844,BlockFrequencyMean,mase_52,active120,4
JZJ0016,6,-0.4539495280546477,BlockFrequencyMean,mase_52,active120,4
JZJ0018,6,0.09036418353366316,BlockFrequencyMean,mase_52,active120,4
JZJ0019,6,-0.4795574827497456,BlockFrequencyMean,mase_52,active120,4
JZQCQ001,6,1.8404679226937821,BlockFrequencyMean,mase_52,active120,4
JZQCQ003,6,1.0850182884990565,BlockFrequencyMean,mase_52,active120,4
JZQCQ004,6,0.06185172293769579,BlockFrequencyMean,mase_52,active120,4
KFYFQ51mm,5,-0.2853803811890264,BlockFrequencyMean,mase_52,active120,4
KFYFQ54mm,5,-0.2516529748692637,BlockFrequencyMean,mase_52,active120,4
KFYFQ58mm,5,-0.13659050987495955,BlockFrequencyMean,mase_52,active120,4
KZCWBG001,6,-0.6938232664075183,BlockFrequencyMean,mase_52,active120,4
LRKF0001,5,0.9969080919080919,BlockFrequencyMean,mase_52,active120,4
LTKF0019,6,0.5165272154745839,BlockFrequencyMean,mase_52,active120,4
LTKF0020,6,-0.3791356547764915,BlockFrequencyMean,mase_52,active120,4
LTKF0021,6,0.2918045037349838,BlockFrequencyMean,mase_52,active120,4
LTKF0022M,6,-0.12005570502544943,BlockFrequencyMean,mase_52,active120,4
LTKF0031,6,0.6938531925798174,BlockFrequencyMean,mase_52,active120,4
LTKF0047,6,-1.0008645200952893,BlockFrequencyMean,mase_52,active120,4
LTKF0101,6,0.02440225921226245,BlockFrequencyMean,mase_52,active120,4
LTKF093,6,-1.1201654156460468,BlockFrequencyMean,mase_52,active120,4
