full_cluster,sku,horizon_weeks,planned,ma4_available,quantity_available,mase_available
1,BLP0001,4,6,6,6,6
1,BLP0001,9,6,6,6,6
1,BLP0001,13,6,6,4,4
1,BLP0002,4,6,6,6,6
1,BLP0002,9,6,6,5,5
1,BLP0002,13,6,6,4,4
1,CWW0002,4,6,6,6,6
1,CWW0002,9,6,6,5,5
1,CWW0002,13,6,6,4,4
1,DHZXCZP0001,4,6,6,6,6
1,DHZXCZP0001,9,6,6,6,6
1,DHZXCZP0001,13,6,6,4,4
1,DRMJJ0022,4,6,6,6,6
1,DRMJJ0022,9,6,6,6,6
1,DRMJJ0022,13,6,6,5,5
1,DRMJJ0023,4,6,6,6,6
1,DRMJJ0023,9,6,6,6,6
1,DRMJJ0023,13,6,6,5,5
1,ETZP0003,4,6,6,6,6
1,ETZP0003,9,6,6,5,5
1,ETZP0003,13,6,6,3,3
1,ETZP0004,4,6,6,6,6
1,ETZP0004,9,6,6,6,6
1,ETZP0004,13,6,6,4,4
1,FDBLHP0001,4,6,6,6,6
1,FDBLHP0001,9,6,6,6,6
1,FDBLHP0001,13,6,6,4,4
1,FDBLP0001,4,6,6,6,6
1,FDBLP0001,9,6,6,6,6
1,FDBLP0001,13,6,6,5,5
1,FRC0002,4,6,6,4,4
1,FRC0002,9,6,6,5,5
1,FRC0002,13,6,6,6,6
1,FRC0003,4,6,6,6,6
1,FRC0003,9,6,6,6,6
1,FRC0003,13,6,6,6,6
1,FRH0001,4,6,6,6,6
1,FRH0001,9,6,6,6,6
1,FRH0001,13,6,6,6,6
1,FRH0002,4,6,6,6,6
1,FRH0002,9,6,6,6,6
1,FRH0002,13,6,6,6,6
1,FRH0003,4,6,6,6,6
1,FRH0003,9,6,6,6,6
1,FRH0003,13,6,6,6,6
1,FRH0004,4,6,6,6,6
1,FRH0004,9,6,6,5,5
1,FRH0004,13,6,6,6,6
1,FRH0033,4,6,6,6,6
1,FRH0033,9,6,6,6,6
1,FRH0033,13,6,6,6,6
1,FRH0034,4,6,6,6,6
1,FRH0034,9,6,6,6,6
1,FRH0034,13,6,6,6,6
1,FRH0040,4,6,6,6,6
1,FRH0040,9,6,6,6,6
1,FRH0040,13,6,6,6,6
1,FRH0045,4,6,6,6,6
1,FRH0045,9,6,6,6,6
1,FRH0045,13,6,6,5,5
1,FRH0046,4,6,6,6,6
1,FRH0046,9,6,6,6,6
1,FRH0046,13,6,6,6,6
1,FRH0048,4,6,6,6,6
1,FRH0048,9,6,6,6,6
1,FRH0048,13,6,6,6,6
1,FRH0050,4,6,6,6,6
1,FRH0050,9,6,6,6,6
1,FRH0050,13,6,6,6,6
1,FRH0051,4,6,6,6,6
1,FRH0051,9,6,6,6,6
1,FRH0051,13,6,6,6,6
1,FRH0056,4,6,6,6,6
1,FRH0056,9,6,6,6,6
1,FRH0056,13,6,6,6,6
1,FRH0059,4,6,6,6,6
1,FRH0059,9,6,6,6,6
1,FRH0059,13,6,6,6,6
1,FRH0064,4,6,6,6,6
1,FRH0064,9,6,6,5,5
1,FRH0064,13,6,6,4,4
1,FRH0065,4,6,6,6,6
1,FRH0065,9,6,6,6,6
1,FRH0065,13,6,6,4,4
1,FRW0005,4,6,6,6,6
1,FRW0005,9,6,6,6,6
1,FRW0005,13,6,6,6,6
1,FRW0006,4,6,6,6,6
1,FRW0006,9,6,6,6,6
1,FRW0006,13,6,6,6,6
1,FRW0013,4,6,6,2,2
1,FRW0013,9,6,6,4,4
1,FRW0013,13,6,6,5,5
1,FRW0015,4,6,6,6,6
1,FRW0015,9,6,6,6,6
1,FRW0015,13,6,6,6,6
1,FRW0017,4,6,6,3,3
1,FRW0017,9,6,6,4,4
1,FRW0017,13,6,6,4,4
1,FRW0024,4,6,6,6,6
1,FRW0024,9,6,6,5,5
1,FRW0024,13,6,6,3,3
1,FZLRICBHP0001,4,6,6,6,6
1,FZLRICBHP0001,9,6,6,6,6
1,FZLRICBHP0001,13,6,6,5,5
1,FZLRJ0001,4,6,6,6,6
1,FZLRJ0001,9,6,6,6,6
1,FZLRJ0001,13,6,6,4,4
1,FZLRJ0002,4,6,6,6,6
1,FZLRJ0002,9,6,6,6,6
1,FZLRJ0002,13,6,6,5,5
1,FZLRJ0005,4,6,6,6,5
1,FZLRJ0005,9,6,2,2,1
1,FZLRJ0005,13,6,2,0,0
1,GJMJSLW001,4,6,6,6,6
1,GJMJSLW001,9,6,6,6,6
1,GJMJSLW001,13,6,6,4,4
1,GJMJWJX001,4,6,6,6,6
1,GJMJWJX001,9,6,6,6,6
1,GJMJWJX001,13,6,6,6,6
1,GJMJWJXW001,4,6,6,6,6
1,GJMJWJXW001,9,6,6,6,6
1,GJMJWJXW001,13,6,6,6,6
1,HLGKSLT0001,4,6,6,6,6
1,HLGKSLT0001,9,6,6,6,6
1,HLGKSLT0001,13,6,6,5,5
1,HWZDSKL0001,4,6,6,6,6
1,HWZDSKL0001,9,6,6,6,6
1,HWZDSKL0001,13,6,6,5,5
1,HZSN0001,4,6,6,6,6
1,HZSN0001,9,6,6,6,6
1,HZSN0001,13,6,6,6,6
1,JZJ00011,4,6,6,6,6
1,JZJ00011,9,6,6,6,6
1,JZJ00011,13,6,6,4,4
1,JZJ00012,4,6,6,6,6
1,JZJ00012,9,6,6,6,6
1,JZJ00012,13,6,6,5,5
1,JZJ0002,4,6,6,6,6
1,JZJ0002,9,6,6,6,6
1,JZJ0002,13,6,6,6,6
1,JZJ0003,4,6,6,6,6
1,JZJ0003,9,6,6,6,6
1,JZJ0003,13,6,6,6,6
1,JZJ0005,4,6,6,6,6
1,JZJ0005,9,6,6,4,4
1,JZJ0005,13,6,6,3,3
1,JZJ0008,4,6,6,6,6
1,JZJ0008,9,6,6,4,4
1,JZJ0008,13,6,6,3,3
1,JZJ0009,4,6,6,6,6
1,JZJ0009,9,6,6,6,6
1,JZJ0009,13,6,6,6,6
1,JZJ0013,4,6,6,6,6
1,JZJ0013,9,6,6,6,6
1,JZJ0013,13,6,6,6,6
1,JZJ0016,4,6,6,6,6
1,JZJ0016,9,6,6,6,6
1,JZJ0016,13,6,6,6,6
1,JZJ0018,4,6,6,6,6
1,JZJ0018,9,6,6,5,5
1,JZJ0018,13,6,6,4,4
