horizon_label,horizon_weeks,origin_index,origin,baseline,pxq_independence_brier,baseline_brier,brier_difference,pxq_independence_better,n_sku_origins
30_day_proxy,4,1,2026-02-16,SKU_block_frequency,0.28988204956054686,0.29482853223593963,-0.0049464826753927715,True,100
30_day_proxy,4,1,2026-02-16,Profile_block_frequency,0.28988204956054686,0.2920245432045854,-0.0021424936440385123,True,100
30_day_proxy,4,1,2026-02-16,Overall_block_frequency,0.28988204956054686,0.319045816186557,-0.029163766626010112,True,100
30_day_proxy,4,2,2026-03-16,SKU_block_frequency,0.24004877830038265,0.2894627238650562,-0.04941394556467357,True,147
30_day_proxy,4,2,2026-03-16,Profile_block_frequency,0.24004877830038265,0.2816647994855373,-0.041616021185154645,True,147
30_day_proxy,4,2,2026-03-16,Overall_block_frequency,0.24004877830038265,0.2952594219596981,-0.05521064365931547,True,147
30_day_proxy,4,3,2026-04-13,SKU_block_frequency,0.15305125956632654,0.2329408444577461,-0.07988958489141956,True,147
30_day_proxy,4,3,2026-04-13,Profile_block_frequency,0.15305125956632654,0.26392412165409074,-0.1108728620877642,True,147
30_day_proxy,4,3,2026-04-13,Overall_block_frequency,0.15305125956632654,0.27973799943066,-0.1266867398643335,True,147
30_day_proxy,4,4,2026-05-11,SKU_block_frequency,0.2472394047951212,0.27593159486016633,-0.028692190065045142,True,147
30_day_proxy,4,4,2026-05-11,Profile_block_frequency,0.2472394047951212,0.27920882464129426,-0.031969419846173075,True,147
30_day_proxy,4,4,2026-05-11,Overall_block_frequency,0.2472394047951212,0.28876862351041716,-0.04152921871529597,True,147
30_day_proxy,4,5,2026-06-08,SKU_block_frequency,0.20254454320790816,0.29823242512405584,-0.09568788191614769,True,147
30_day_proxy,4,5,2026-06-08,Profile_block_frequency,0.20254454320790816,0.3051099446155855,-0.10256540140767734,True,147
30_day_proxy,4,5,2026-06-08,Overall_block_frequency,0.20254454320790816,0.2924411196476234,-0.08989657643971527,True,147
30_day_proxy,4,6,2026-07-06,SKU_block_frequency,0.14903643342102466,0.3074046024659864,-0.15836816904496173,True,147
30_day_proxy,4,6,2026-07-06,Profile_block_frequency,0.14903643342102466,0.3147100898100887,-0.16567365638906403,True,147
30_day_proxy,4,6,2026-07-06,Overall_block_frequency,0.14903643342102466,0.29171300545888396,-0.1426765720378593,True,147
60_day_proxy,9,1,2025-07-21,SKU_block_frequency,0.21147292062144935,0.3563786008230453,-0.14490568020159594,True,195
60_day_proxy,9,1,2025-07-21,Profile_block_frequency,0.21147292062144935,0.341646240676106,-0.13017332005465665,True,195
60_day_proxy,9,1,2025-07-21,Overall_block_frequency,0.21147292062144935,0.3305573818394331,-0.11908446121798377,True,195
60_day_proxy,9,2,2025-09-22,SKU_block_frequency,0.1642996428001665,0.3225128205128206,-0.15821317771265409,True,195
60_day_proxy,9,2,2025-09-22,Profile_block_frequency,0.1642996428001665,0.3074196952411995,-0.14312005244103299,True,195
60_day_proxy,9,2,2025-09-22,Overall_block_frequency,0.1642996428001665,0.3104717948717949,-0.14617215207162837,True,195
60_day_proxy,9,3,2025-11-24,SKU_block_frequency,0.156819170197113,0.4178512396694216,-0.2610320694723086,True,100
60_day_proxy,9,3,2025-11-24,Profile_block_frequency,0.156819170197113,0.3915110787732352,-0.2346919085761222,True,100
60_day_proxy,9,3,2025-11-24,Overall_block_frequency,0.156819170197113,0.3778942148760331,-0.22107504467892009,True,100
60_day_proxy,9,4,2026-01-26,SKU_block_frequency,0.14139688476370682,0.36111111111111116,-0.21971422634740434,True,100
60_day_proxy,9,4,2026-01-26,Profile_block_frequency,0.14139688476370682,0.3584027620307382,-0.21700587726703136,True,100
60_day_proxy,9,4,2026-01-26,Overall_block_frequency,0.14139688476370682,0.3422694444444444,-0.20087255968073758,True,100
60_day_proxy,9,5,2026-03-30,SKU_block_frequency,0.22335788180585653,0.32,-0.09664211819414348,True,100
60_day_proxy,9,5,2026-03-30,Profile_block_frequency,0.22335788180585653,0.2758718627474467,-0.052513980941590155,True,100
60_day_proxy,9,5,2026-03-30,Overall_block_frequency,0.22335788180585653,0.2884946745562131,-0.06513679275035655,True,100
60_day_proxy,9,6,2026-06-01,SKU_block_frequency,0.3215425297450509,0.36481327224767457,-0.043270742502623694,True,147
60_day_proxy,9,6,2026-06-01,Profile_block_frequency,0.3215425297450509,0.31710422852095943,0.0044383012240914455,False,147
60_day_proxy,9,6,2026-06-01,Overall_block_frequency,0.3215425297450509,0.2662808433965351,0.05526168634851575,False,147
90_day_proxy,13,1,2025-02-03,SKU_block_frequency,0.2634267701961298,0.305448717948718,-0.04202194775258816,True,195
90_day_proxy,13,1,2025-02-03,Profile_block_frequency,0.2634267701961298,0.303147743731965,-0.0397209735358352,True,195
90_day_proxy,13,1,2025-02-03,Overall_block_frequency,0.2634267701961298,0.3073126232741617,-0.04388585307803189,True,195
90_day_proxy,13,2,2025-05-05,SKU_block_frequency,0.2800708762560953,0.40471794871794875,-0.12464707246185347,True,195
90_day_proxy,13,2,2025-05-05,Profile_block_frequency,0.2800708762560953,0.35748923324737275,-0.07741835699127747,True,195
90_day_proxy,13,2,2025-05-05,Overall_block_frequency,0.2800708762560953,0.3243960552268245,-0.04432517897072924,True,195
90_day_proxy,13,3,2025-08-04,SKU_block_frequency,0.20519277594683477,0.37507122507122503,-0.16987844912439026,True,195
90_day_proxy,13,3,2025-08-04,Profile_block_frequency,0.20519277594683477,0.3268604692061482,-0.12166769325931343,True,195
90_day_proxy,13,3,2025-08-04,Overall_block_frequency,0.20519277594683477,0.30779823215720653,-0.10260545621037176,True,195
90_day_proxy,13,4,2025-11-03,SKU_block_frequency,0.1295451761640895,0.4036734693877551,-0.2741282932236656,True,100
90_day_proxy,13,4,2025-11-03,Profile_block_frequency,0.1295451761640895,0.35796833018921853,-0.22842315402512903,True,100
90_day_proxy,13,4,2025-11-03,Overall_block_frequency,0.1295451761640895,0.3410367346938776,-0.21149155852978807,True,100
90_day_proxy,13,5,2026-02-02,SKU_block_frequency,0.13019118335239552,0.3090625,-0.1788713166476045,True,100
90_day_proxy,13,5,2026-02-02,Profile_block_frequency,0.13019118335239552,0.2827051177536232,-0.1525139344012277,True,100
90_day_proxy,13,5,2026-02-02,Overall_block_frequency,0.13019118335239552,0.27965625000000005,-0.14946506664760453,True,100
90_day_proxy,13,6,2026-05-04,SKU_block_frequency,0.1444740614593986,0.27308641975308645,-0.12861235829368786,True,100
90_day_proxy,13,6,2026-05-04,Profile_block_frequency,0.1444740614593986,0.238784812898634,-0.09431075143923542,True,100
90_day_proxy,13,6,2026-05-04,Overall_block_frequency,0.1444740614593986,0.23679999999999995,-0.09232593854060137,True,100
