horizon_label,horizon_weeks,method,bin_index,bin_lower,bin_upper,n_sku_origins,mean_probability,observed_event_rate,calibration_gap
30_day_proxy,4,Overall_block_frequency,1,0.2,0.4,688,0.38019394113093913,0.6206395348837209,-0.2404455937527818
30_day_proxy,4,Overall_block_frequency,2,0.4,0.6,147,0.4101091326823663,0.6870748299319728,-0.27696569724960646
30_day_proxy,4,PXQ_independence,0,0.0,0.2,313,0.0,0.3194888178913738,-0.3194888178913738
30_day_proxy,4,PXQ_independence,3,0.6,0.8,117,0.68359375,0.6153846153846154,0.06820913461538458
30_day_proxy,4,PXQ_independence,4,0.8,1.0,405,0.9818576388888889,0.8790123456790123,0.10284529320987656
30_day_proxy,4,Profile_block_frequency,0,0.0,0.2,162,0.09592243885978059,0.42592592592592593,-0.33000348706614535
30_day_proxy,4,Profile_block_frequency,1,0.2,0.4,224,0.25343940839391615,0.49107142857142855,-0.2376320201775124
30_day_proxy,4,Profile_block_frequency,2,0.4,0.6,449,0.48775107411190394,0.77728285077951,-0.28953177666760604
30_day_proxy,4,SKU_block_frequency,0,0.0,0.2,214,0.07983573086393717,0.397196261682243,-0.31736053081830584
30_day_proxy,4,SKU_block_frequency,1,0.2,0.4,269,0.28787079616183925,0.6245353159851301,-0.3366645198232909
30_day_proxy,4,SKU_block_frequency,2,0.4,0.6,170,0.4852270081187833,0.788235294117647,-0.30300828599886376
30_day_proxy,4,SKU_block_frequency,3,0.6,0.8,93,0.6935104905173948,0.6881720430107527,0.00533844750664203
30_day_proxy,4,SKU_block_frequency,4,0.8,1.0,89,0.9208841080151744,0.8651685393258427,0.055715568689331696
60_day_proxy,9,Overall_block_frequency,1,0.2,0.4,490,0.2954792826221398,0.6163265306122448,-0.32084724799010506
60_day_proxy,9,Overall_block_frequency,2,0.4,0.6,347,0.4429048492796279,0.8242074927953891,-0.38130264351576115
60_day_proxy,9,PXQ_independence,0,0.0,0.2,259,0.0,0.3783783783783784,-0.3783783783783784
60_day_proxy,9,PXQ_independence,3,0.6,0.8,98,0.6535605838853816,0.6836734693877551,-0.030112885502373454
60_day_proxy,9,PXQ_independence,4,0.8,1.0,480,0.9825005236590624,0.88125,0.1012505236590624
60_day_proxy,9,Profile_block_frequency,0,0.0,0.2,199,0.11270367410852444,0.5979899497487438,-0.4852862756402193
60_day_proxy,9,Profile_block_frequency,1,0.2,0.4,284,0.31825648920719346,0.6584507042253521,-0.34019421501815866
60_day_proxy,9,Profile_block_frequency,2,0.4,0.6,354,0.511402186668851,0.7966101694915254,-0.28520798282267446
60_day_proxy,9,SKU_block_frequency,0,0.0,0.2,207,0.08321536220086945,0.6811594202898551,-0.5979440580889857
60_day_proxy,9,SKU_block_frequency,1,0.2,0.4,310,0.2838659548336968,0.6258064516129033,-0.34194049677920646
60_day_proxy,9,SKU_block_frequency,2,0.4,0.6,178,0.47491687463597565,0.7640449438202247,-0.28912806918424905
60_day_proxy,9,SKU_block_frequency,3,0.6,0.8,80,0.6971298146298146,0.8125,-0.1153701853701854
60_day_proxy,9,SKU_block_frequency,4,0.8,1.0,62,0.8998392288714869,0.8387096774193549,0.06112955145213206
90_day_proxy,13,Overall_block_frequency,1,0.2,0.4,585,0.2951851851851852,0.5572649572649573,-0.26207977207977207
90_day_proxy,13,Overall_block_frequency,2,0.4,0.6,300,0.463452380952381,0.9,-0.436547619047619
90_day_proxy,13,PXQ_independence,0,0.0,0.2,319,0.0,0.3605015673981191,-0.3605015673981191
90_day_proxy,13,PXQ_independence,3,0.6,0.8,80,0.6467415015288392,0.65,-0.0032584984711607756
90_day_proxy,13,PXQ_independence,4,0.8,1.0,486,0.9813238898560162,0.8827160493827161,0.09860784047330007
90_day_proxy,13,Profile_block_frequency,0,0.0,0.2,344,0.11388773532668883,0.5290697674418605,-0.4151820321151717
90_day_proxy,13,Profile_block_frequency,1,0.2,0.4,29,0.3582375478927203,0.9310344827586207,-0.5727969348659003
90_day_proxy,13,Profile_block_frequency,2,0.4,0.6,512,0.5120171440972223,0.755859375,-0.24384223090277768
90_day_proxy,13,SKU_block_frequency,0,0.0,0.2,263,0.04564246484398575,0.5627376425855514,-0.5170951777415657
90_day_proxy,13,SKU_block_frequency,1,0.2,0.4,245,0.2848347910592809,0.7061224489795919,-0.421287657920311
90_day_proxy,13,SKU_block_frequency,2,0.4,0.6,199,0.47165988673526354,0.6884422110552764,-0.21678232432001282
90_day_proxy,13,SKU_block_frequency,3,0.6,0.8,104,0.6860080891330891,0.75,-0.06399191086691092
90_day_proxy,13,SKU_block_frequency,4,0.8,1.0,74,0.8746675246675245,0.8108108108108109,0.06385671385671365
