horizon_label,horizon_weeks,origin_index,origin,v4_base_sku_origins,eligible_recent_rate,eligible_direct_blocks,skipped_short_recent,v2_corrected_intervals
30_day_proxy,4,1,2026-02-16,147,147,100,0,30
30_day_proxy,4,2,2026-03-16,147,147,147,0,31
30_day_proxy,4,3,2026-04-13,147,147,147,0,31
30_day_proxy,4,4,2026-05-11,147,147,147,0,34
30_day_proxy,4,5,2026-06-08,147,147,147,0,35
30_day_proxy,4,6,2026-07-06,147,147,147,0,41
60_day_proxy,9,1,2025-07-21,195,195,195,0,13
60_day_proxy,9,2,2025-09-22,195,195,195,0,18
60_day_proxy,9,3,2025-11-24,100,100,100,0,19
60_day_proxy,9,4,2026-01-26,100,100,100,0,26
60_day_proxy,9,5,2026-03-30,147,147,100,0,29
60_day_proxy,9,6,2026-06-01,147,147,147,0,38
90_day_proxy,13,1,2025-02-03,195,195,195,0,7
90_day_proxy,13,2,2025-05-05,195,195,195,0,11
90_day_proxy,13,3,2025-08-04,195,195,195,0,13
90_day_proxy,13,4,2025-11-03,100,100,100,0,19
90_day_proxy,13,5,2026-02-02,147,100,100,47,28
90_day_proxy,13,6,2026-05-04,147,147,100,0,34
