horizon_label,horizon_weeks,method,n_positive_sku_origins,n_unique_skus,actual_positive_volume,predicted_conditional_volume,mean_absolute_error,median_absolute_error,aggregate_wape,aggregate_bias
30_day_proxy,4,EnterpriseShrink_L4,548,141,8892.0,9320.950233855703,11.279065222310487,7.382145723570348,0.6951110820767147,0.048240017302710665
30_day_proxy,4,ProfileShrink_L1,548,141,8892.0,8215.574548540015,9.875711261686599,4.718735592438913,0.6086245806797409,-0.07607123835582368
30_day_proxy,4,ProfileShrink_L4,548,141,8892.0,8323.960421645663,10.412994768165005,6.295688551501106,0.6417365196754862,-0.06388209383202167
30_day_proxy,4,ProfileShrink_L8,548,141,8892.0,8380.185159372115,10.992373015300117,7.279150525458409,0.6774426914512442,-0.057559023912267714
30_day_proxy,4,SKU_recent_block,515,131,8615.0,7988.606374181374,10.032665430578051,4.92307692307692,0.5997472660183049,-0.07270964896327636
60_day_proxy,9,EnterpriseShrink_L4,616,178,18148.0,19234.15368654674,22.966864392886542,16.916851242690058,0.7795673609223116,0.05984977333848022
60_day_proxy,9,ProfileShrink_L1,616,178,18148.0,16479.3541598272,17.513892901619005,8.793026159207786,0.5944764176436691,-0.09194654177720964
60_day_proxy,9,ProfileShrink_L4,616,178,18148.0,16375.09283841665,19.484407677196053,9.648228128460683,0.6613618651726233,-0.0976916002635745
60_day_proxy,9,ProfileShrink_L8,616,178,18148.0,16348.724223746278,21.207994363809103,10.0986531986532,0.7198657994327974,-0.0991445766064426
60_day_proxy,9,SKU_recent_block,557,157,17495.0,16407.1325,17.850163076002392,8.0,0.5683075640659235,-0.062181623320948835
90_day_proxy,13,EnterpriseShrink_L4,667,206,24975.0,25256.508053811325,31.830179642139136,23.013183098591547,0.8500792721243965,0.011271593746199127
90_day_proxy,13,ProfileShrink_L1,667,206,24975.0,19320.32110331257,24.685811694881586,11.572751322751323,0.6592767327521929,-0.22641356943693414
90_day_proxy,13,ProfileShrink_L4,667,206,24975.0,19373.04739658065,26.986879573753825,12.681818181818182,0.7207306777054575,-0.22430240654331737
90_day_proxy,13,ProfileShrink_L8,667,206,24975.0,19362.66859160419,28.68428914546483,13.439276485788113,0.7660628972983,-0.22471797431014248
90_day_proxy,13,SKU_recent_block,525,172,22678.0,18505.80416666667,26.539579365079366,10.75,0.6143962944998089,-0.18397547549754534
