target_type,horizon_label,horizon_weeks,origin_index,origin,primary_method,baseline,primary_loss,baseline_loss,loss_difference,primary_better,n_sku_origins
probability,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4,EnterpriseShrink_L4,0.1874462033698721,0.18449488945459377,0.0029513139152783363,False,147
probability,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4,SKU_recent_block,0.1874462033698721,0.1691824658857626,0.018263737484109505,False,147
probability,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4,PXQ_independence,0.1874462033698721,0.24402478276466838,-0.05657857939479627,True,147
probability,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4,ProfileShrink_L1,0.1874462033698721,0.17087934070426486,0.01656686266560725,False,147
probability,30_day_proxy,4,1,2026-02-16,ProfileShrink_L4,ProfileShrink_L8,0.1874462033698721,0.19504451912892187,-0.007598315759049762,True,147
probability,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4,EnterpriseShrink_L4,0.19841759357311742,0.2003498984327347,-0.0019323048596172898,True,147
probability,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4,SKU_recent_block,0.19841759357311742,0.21284667713239144,-0.014429083559274025,True,147
probability,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4,PXQ_independence,0.19841759357311742,0.24004877830038265,-0.041631184727265236,True,147
probability,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4,ProfileShrink_L1,0.19841759357311742,0.20330270376800075,-0.00488511019488333,True,147
probability,30_day_proxy,4,2,2026-03-16,ProfileShrink_L4,ProfileShrink_L8,0.19841759357311742,0.1967198438237872,0.0016977497493302074,False,147
probability,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4,EnterpriseShrink_L4,0.17721648086227573,0.18175179573151332,-0.004535314869237583,True,147
probability,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4,SKU_recent_block,0.17721648086227573,0.1764324401687039,0.0007840406935718247,False,147
probability,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4,PXQ_independence,0.17721648086227573,0.15305125956632654,0.024165221295949196,False,147
probability,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4,ProfileShrink_L1,0.17721648086227573,0.17471898672692404,0.002497494135351691,False,147
probability,30_day_proxy,4,3,2026-04-13,ProfileShrink_L4,ProfileShrink_L8,0.17721648086227573,0.18132108355961515,-0.004104602697339421,True,147
probability,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4,EnterpriseShrink_L4,0.1951991056688087,0.1808481188632969,0.014350986805511778,False,147
probability,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4,SKU_recent_block,0.1951991056688087,0.19259700921788836,0.002602096450920327,False,147
probability,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4,PXQ_independence,0.1951991056688087,0.2472394047951212,-0.0520402991263125,True,147
probability,30_day_proxy,4,4,2026-05-11,ProfileShrink_L4,ProfileShrink_L1,0.1951991056688087,0.192850307719595,0.0023487979492136934,False,147
