method,baseline,loss,n_skus,mean_difference,median_difference,ci_low,ci_high,horizon_label,horizon_weeks,primary_aggregate_wape,baseline_aggregate_wape,wape_difference
ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,horizon_total_abs_error,147,-0.6660339901874791,-0.42176213196993473,-1.0321016711594009,-0.31848244008354665,30_day_proxy,4,0.8046592253744446,0.8707233256157129,-0.0660641002412683
ProfileShrink_L4_expected,SKU_recent_block_expected,horizon_total_abs_error,147,0.4495643191218359,0.2905076441155965,-0.01457656095240944,0.8843626790178956,30_day_proxy,4,0.8046592253744446,0.7600668131538577,0.04459241222058685
ProfileShrink_L4_expected,PXQ,horizon_total_abs_error,140,1.2635459838408853,0.52232878096094,0.5188980352789735,2.057497627235858,30_day_proxy,4,0.7942899041833635,0.6749140806049647,0.11937582357839882
ProfileShrink_L4_expected,MA4_proxy,horizon_total_abs_error,147,0.9856455281622286,0.4338675993187193,0.10508805060074179,1.8422620731255448,30_day_proxy,4,0.8046592253744446,0.7068927661032924,0.09776645927115213
ProfileShrink_L4_expected,Naive,horizon_total_abs_error,147,-0.016972979558319935,0.4773180373958976,-2.51785722690997,1.584796678138929,30_day_proxy,4,0.8046592253744446,0.8063427800269906,-0.0016835546525459932
ProfileShrink_L4_expected,SES,horizon_total_abs_error,147,1.243032462958309,0.43077147337256294,0.4321327733230324,2.097582920334996,30_day_proxy,4,0.8046592253744446,0.6813624830972035,0.12329674227724108
ProfileShrink_L4_expected,ADIDA2,horizon_total_abs_error,147,0.681663382004758,0.18588059773022414,-0.0738573532056642,1.504822022462315,30_day_proxy,4,0.8046592253744446,0.7370448413294383,0.0676143840450063
ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,horizon_total_abs_error,242,-1.2776754182106467,-3.8628140311601804,-2.212444779030529,-0.38742328150705535,60_day_proxy,9,0.8275987510180384,0.888766904870919,-0.06116815385288066
ProfileShrink_L4_expected,SKU_recent_block_expected,horizon_total_abs_error,242,1.7621584323020392,0.3875670155381462,0.8498062591447185,2.6817115938188367,60_day_proxy,9,0.8275987510180384,0.74302788186026,0.08457086915777834
ProfileShrink_L4_expected,PXQ,horizon_total_abs_error,224,3.9735665141669645,0.9901376568425331,2.7344099642728383,5.304479635466033,60_day_proxy,9,0.8216317515061705,0.6549776115636543,0.1666541399425162
ProfileShrink_L4_expected,MA4_proxy,horizon_total_abs_error,242,3.8164766141202207,0.7923764307064226,2.253808972954835,5.418160689238567,60_day_proxy,9,0.8275987510180384,0.68537717654838,0.14222157446965833
ProfileShrink_L4_expected,Naive,horizon_total_abs_error,242,2.0665454846436373,0.5279171706254036,0.5111861741826954,3.609673313414097,60_day_proxy,9,0.8275987510180384,0.7596980383513334,0.06790071266670494
ProfileShrink_L4_expected,SES,horizon_total_abs_error,242,3.373048041395928,0.5490392023969075,1.9323748162458985,4.8800122632967,60_day_proxy,9,0.8275987510180384,0.6787923279355961,0.1488064230824423
ProfileShrink_L4_expected,ADIDA2,horizon_total_abs_error,242,3.7074988251739804,0.7401061108939015,2.247964807217721,5.27801903533334,60_day_proxy,9,0.8275987510180384,0.6936985965135537,0.13390015450448467
ProfileShrink_L4_expected,EnterpriseShrink_L4_expected,horizon_total_abs_error,242,-2.25333072380521,-3.599400307548651,-3.6096275884591726,-0.9618132711424597,90_day_proxy,13,0.8493199757921439,0.9215508807997509,-0.07223090500760698
ProfileShrink_L4_expected,SKU_recent_block_expected,horizon_total_abs_error,242,1.7480100724690386,0.33277132126227377,0.5948125271686042,2.9872305112731015,90_day_proxy,13,0.8454966426153541,0.7745709221317095,0.07092572048364454
ProfileShrink_L4_expected,PXQ,horizon_total_abs_error,215,3.920097290553493,1.2015642194669216,1.8354074455122373,6.001027303773779,90_day_proxy,13,0.8360724125874197,0.7035418703103005,0.13253054227711925
ProfileShrink_L4_expected,MA4_proxy,horizon_total_abs_error,242,3.0186605224994927,0.610674106970095,1.182031833518352,5.174308847603472,90_day_proxy,13,0.8493199757921439,0.7166741741741742,0.13264580161796968
ProfileShrink_L4_expected,Naive,horizon_total_abs_error,242,-0.2069334857649701,0.34107142857142847,-2.258703981761653,1.8771018579416037,90_day_proxy,13,0.8493199757921439,0.8560160160160161,-0.006696040223872157
ProfileShrink_L4_expected,SES,horizon_total_abs_error,242,1.8618332007007243,0.34107142857142936,0.03231532940042085,3.8302588166876883,90_day_proxy,13,0.8493199757921439,0.7575612534584515,0.09175872233369242
ProfileShrink_L4_expected,ADIDA2,horizon_total_abs_error,242,1.7232546245749434,0.31199257731644936,-0.5210905015424675,3.8302641133882953,90_day_proxy,13,0.8454966426153541,0.7444032644313486,0.10109337818400543
