cluster,feature,n_skus,median,ci_low,ci_high
1,ADI,123,3.2142857142857144,2.7544063079777366,3.7142857142857144
1,CV2,123,0.529090909090909,0.47418255270799137,0.6694008036572435
1,approx_entropy,123,0.35686168797291407,0.31497749345624015,0.39130676307218293
1,trailing_zero_share,123,0.014814814814814815,0.0,0.03333333333333333
1,nonzero_mean,123,3.4583333333333335,3.1052631578947367,3.725
1,mean_sales,123,1.1222222222222222,0.8365384615384616,1.4370370370370371
1,zero_ratio,123,0.6888888888888889,0.6370370370370371,0.7307692307692307
1,total_sales,123,101.0,83.0,127.5
1,n_positive,123,31.0,27.0,35.0
2,ADI,74,10.825,8.833333333333332,12.636363636363637
2,CV2,74,0.2698545052769278,0.22063772557634168,0.31333347631711894
2,approx_entropy,74,0.1844109945799921,0.1661288356791284,0.22655086050635145
2,trailing_zero_share,74,0.13333333333333333,0.08400997150997151,0.19245014245014247
2,nonzero_mean,74,1.6666666666666667,1.5714285714285714,1.7697809741745667
2,mean_sales,74,0.15925925925925927,0.1259259259259259,0.201991631054131
2,zero_ratio,74,0.9074786324786325,0.8888888888888888,0.9185185185185185
2,total_sales,74,19.0,15.0,24.0
2,n_positive,74,10.0,8.9875,12.5
