feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,all_k_pareto,k2_pareto,analysis_mode,registry_sha256
ADI+CV2,2,2,197,True,,0.38849092414851033,152.7526785259142,74,123,1:123;2:74,0.6393872223005344,0.6504809923367323,0.46114655644807384,0.7823337726244254,"{""1"": 0.8571428571428571, ""2"": 0.7703810367744794}",True,True,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2,2,3,197,True,,0.3604889226168086,155.9096205964059,58,74,1:65;2:58;3:74,0.548369373648504,0.530540852996627,0.37938585308683354,0.7494403608744797,"{""1"": 0.7702702702702703, ""2"": 0.6326530612244898, ""3"": 0.6224050137093615}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2,2,4,197,True,,0.3381166293638151,145.6151230667839,18,65,1:65;2:58;3:56;4:18,0.49518910393572235,0.4756396896600801,0.3469676165788005,0.6740112801577101,"{""1"": 0.64, ""2"": 0.5483870967741935, ""3"": 0.5620719178082192, ""4"": 0.4117647058823529}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2,2,5,197,True,,0.32987311647124495,142.30210815736768,11,65,1:65;2:47;3:56;4:11;5:18,0.47563643971658576,0.45184600885327586,0.35053524327643953,0.6366598479352068,"{""1"": 0.53125, ""2"": 0.5327956989247311, ""3"": 0.5444664031620553, ""4"": 0.5577777777777778, ""5"": 0.21980676328502413}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2,2,6,197,True,,0.3117651632180443,138.47889216452575,11,56,1:19;2:46;3:47;4:56;5:11;6:18,0.46877813294201504,0.44858945899063096,0.35625780198557583,0.6273436030015712,"{""1"": 0.5773524720893142, ""2"": 0.4897959183673469, ""3"": 0.4166666666666667, ""4"": 0.9166666666666666, ""5"": 0.3333333333333333, ""6"": 0.46875}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy,3,2,197,True,,0.33314652343912526,100.65613967545565,44,153,1:153;2:44,0.43224025767044794,0.4038584820975071,0.1664408312882854,0.7254960276144992,"{""1"": 0.7711864406779662, ""2"": 0.5538461538461539}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy,3,3,197,True,,0.24600003158126388,101.7593650467123,34,119,1:34;2:119;3:44,0.3126507212477628,0.2512593831206096,0.14552648552865236,0.6204387386159271,"{""1"": 0.4639175257731959, ""2"": 0.5680648481729285, ""3"": 0.5102211097204838}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy,3,4,197,True,,0.27072596860447057,111.16427522912613,34,66,1:34;2:53;3:66;4:44,0.4623456385516592,0.4320304701717355,0.3375552313839485,0.6376135549056514,"{""1"": 0.6356421356421356, ""2"": 0.6371473354231976, ""3"": 0.7101018675721562, ""4"": 0.38585607940446653}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy,3,5,197,True,,0.2718337766010017,106.05818971814818,13,66,1:34;2:40;3:66;4:13;5:44,0.5013381343724076,0.49210958079063005,0.37726952736667596,0.6444266444829051,"{""1"": 0.5889894419306184, ""2"": 0.4603174603174603, ""3"": 0.7741935483870968, ""4"": 0.7467948717948718, ""5"": 0.47213622291021673}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy,3,6,197,True,,0.27402192804365905,104.31373868236552,13,66,1:34;2:40;3:66;4:13;5:30;6:14,0.5202824949326903,0.5177689246902537,0.40318379239765334,0.6344654981905005,"{""1"": 0.46875, ""2"": 0.7714285714285715, ""3"": 0.8, ""4"": 0.6339712918660287, ""5"": 0.5638586956521738, ""6"": 0.4666666666666667}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+trailing_zero_share,3,2,197,True,,0.34575475830625324,119.0039060118096,85,112,1:112;2:85,0.5834533778051374,0.552523268824046,0.3620513747337826,0.8782795342124643,"{""1"": 0.7912087912087912, ""2"": 0.7584312239484653}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+trailing_zero_share,3,3,197,True,,0.34201706140083693,105.52073934849358,22,90,1:90;2:22;3:85,0.6844825176586375,0.6796013204095855,0.502381871504535,0.9076287517797752,"{""1"": 0.7027027027027027, ""2"": 0.9119462025316456, ""3"": 0.4634146341463415}",True,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+trailing_zero_share,3,4,197,True,,0.33376653415425395,101.81862831267922,22,90,1:90;2:22;3:59;4:26,0.7171182834995473,0.741690926510812,0.5129973443685241,0.891542316706295,"{""1"": 0.597872340425532, ""2"": 0.9103520857252201, ""3"": 0.5787841191066998, ""4"": 0.6363636363636364}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+trailing_zero_share,3,5,197,True,,0.3374351934567419,100.55339167884615,22,90,1:90;2:26;3:22;4:26;5:33,0.7254360994690614,0.7681392059256849,0.4885175895981839,0.9283052151909162,"{""1"": 0.8529411764705882, ""2"": 0.767948717948718, ""3"": 0.9, ""4"": 0.676944971537002, ""5"": 0.8181818181818182}",True,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+trailing_zero_share,3,6,197,True,,0.2857585615341782,100.94500262065185,22,66,1:24;2:66;3:26;4:22;5:26;6:33,0.6343719305500465,0.6114440370032581,0.47054950120219136,0.8425957329802524,"{""1"": 0.5920709441836203, ""2"": 0.8214285714285714, ""3"": 0.9411764705882353, ""4"": 0.6801948051948052, ""5"": 0.8421052631578947, ""6"": 0.4861003861003861}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy+trailing_zero_share,4,2,197,True,,0.2886558294089923,95.5390207066644,83,114,1:83;2:114,0.5407512217336007,0.5718061562743049,0.209423660535348,0.762125655780007,"{""1"": 0.8066348973607038, ""2"": 0.7622023809523809}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy+trailing_zero_share,4,3,197,True,,0.26579427110218123,84.77982239866692,51,83,1:83;2:51;3:63,0.555257890838813,0.5720666817719152,0.332920149798775,0.7566269269325314,"{""1"": 0.4468984962406015, ""2"": 0.7799497847919656, ""3"": 0.755328798185941}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy+trailing_zero_share,4,4,197,True,,0.2662278843634661,80.666147063972,23,83,1:83;2:28;3:23;4:63,0.5364945403325794,0.5286729223262605,0.37159452564307416,0.7518976825972301,"{""1"": 0.7056060606060606, ""2"": 0.39841269841269844, ""3"": 0.6581250000000001, ""4"": 0.45454545454545453}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
ADI+CV2+approx_entropy+trailing_zero_share,4,5,197,True,,0.2435435058151775,77.96509461727949,23,63,1:30;2:53;3:28;4:23;5:63,0.5282351324093962,0.505206156663119,0.40041106175183333,0.7080525744077732,"{""1"": 0.5294117647058824, ""2"": 0.6376262626262625, ""3"": 0.644256120527307, ""4"": 0.5469208211143695, ""5"": 0.6711711711711712}",False,False,retrospective_method_development,28e4f18e9d1168b2862763f313ab73d96db1d555f9d9c5a8ac532cf834369c39
