sku,full_cluster,subsample_appearances,same_cluster_count,assignment_stability
DRMJJ0039,1,408,59,0.14460784313725492
FRH0044,1,401,67,0.16708229426433915
XGX9992,1,401,73,0.18204488778054864
QFSJZ001-1,2,393,151,0.3842239185750636
NNB0002,2,405,160,0.3950617283950617
XYMZG0016,2,406,164,0.4039408866995074
CLSSLT0003,2,400,168,0.42
FZLRICBHP0001,2,375,163,0.43466666666666665
SLT0003,2,381,183,0.48031496062992124
ZJJYZSJBV1AMDE,2,389,187,0.480719794344473
JZJ0018,2,392,196,0.5
QFSJZ003-1,2,389,204,0.5244215938303342
FRC0002,2,406,213,0.5246305418719212
ZTD0001,2,399,210,0.5263157894736842
DRMJJ0025,2,394,213,0.5406091370558376
JZJ0004,2,383,209,0.5456919060052219
QCXXC0001,1,414,226,0.5458937198067633
LTKF0111,2,392,214,0.5459183673469388
DRMJJ0038,1,384,213,0.5546875
CLSSLT0006,1,404,226,0.5594059405940595
FRW0009,1,407,236,0.5798525798525799
FDBLHP0001,2,393,228,0.5801526717557252
ZJJSJBV001AMDE,1,404,235,0.5816831683168316
FRH0004,1,405,240,0.5925925925925926
FRW00023,1,394,238,0.6040609137055838
ZBTZ0003,1,400,249,0.6225
QFDNZGJK001,1,393,257,0.6539440203562341
HWZDSKL0002,1,389,256,0.6580976863753213
YBB0001,2,404,266,0.6584158415841584
DRMJJ0026,1,401,265,0.6608478802992519
LTKF0022,1,396,274,0.6919191919191919
xgx0013,1,392,285,0.7270408163265306
JZJ0014,1,394,292,0.7411167512690355
DRMJJ0020,1,401,307,0.7655860349127181
ZJJYZBV001AMDE,1,391,305,0.7800511508951407
FRH0028,1,398,314,0.7889447236180904
FRH0068,1,395,314,0.7949367088607595
XXGP0002,1,386,316,0.8186528497409327
JZJ0008,1,402,333,0.8283582089552238
KZCWBG001,1,389,323,0.8303341902313625
XYMGPD0002,1,409,341,0.8337408312958435
XFTW0001,1,402,338,0.8407960199004975
JZJ0005,1,402,340,0.845771144278607
FRH0065,1,414,352,0.8502415458937198
FRH0045,2,401,344,0.85785536159601
LTKF098,1,394,345,0.8756345177664975
DRMJJ0021,2,401,352,0.8778054862842892
FRH0029,1,410,360,0.8780487804878049
JZJ00011,1,416,366,0.8798076923076923
FZLRJ0001,1,418,370,0.8851674641148325
FRW0013,2,393,349,0.8880407124681934
DRMJJ0022,1,395,352,0.8911392405063291
YDBZ001,1,393,359,0.9134860050890585
FRH0049,2,403,369,0.9156327543424317
LTKF0008,2,403,369,0.9156327543424317
FRW0017,2,408,374,0.9166666666666666
WSJZS0002,2,395,365,0.9240506329113924
ZJJYZSJSV1AMDE,2,391,364,0.9309462915601023
FRW0016,2,393,370,0.9414758269720102
QFSJZ002-1,2,387,366,0.9457364341085271
LTKF0009,2,415,396,0.9542168674698795
QCCXC0004,1,396,380,0.9595959595959596
GJMJSLW001,1,391,376,0.9616368286445013
SKZ2FT01,1,394,379,0.9619289340101523
ZBTZ0002,1,397,382,0.9622166246851386
JZJ0019,1,389,375,0.9640102827763496
LTKF0101,1,416,402,0.9663461538461539
SPH0001,2,403,390,0.967741935483871
WSJZS0004,2,379,367,0.9683377308707124
DRMJJ0027,2,387,375,0.9689922480620154
YKLLW0005,1,390,379,0.9717948717948718
ETZP0003,1,390,384,0.9846153846153847
SRPDZS0002,2,386,381,0.9870466321243523
XYMLRY00001,1,396,391,0.9873737373737373
FRW00011,2,417,412,0.988009592326139
XGX9995,1,396,392,0.98989898989899
SLT0004,2,406,402,0.9901477832512315
FRH0040,1,412,408,0.9902912621359223
XGX9993,1,398,395,0.992462311557789
YJX0024,2,400,397,0.9925
DHZXCZP0001,1,387,385,0.9948320413436692
GJMJWJXW001,1,391,389,0.9948849104859335
zxy0002,2,393,391,0.9949109414758269
LYC0201,1,395,393,0.9949367088607595
HLGKSLT0001,1,407,405,0.995085995085995
ZJJSJSV001AMDE,1,382,381,0.9973821989528796
FZLRJ0005,1,387,386,0.9974160206718347
BLJZ0001,2,394,393,0.9974619289340102
FRW0024,1,394,393,0.9974619289340102
BLP0002,1,397,396,0.9974811083123426
ETZP0004,1,397,396,0.9974811083123426
FRW0015,1,399,398,0.9974937343358395
KFYFQ54mm,1,400,399,0.9975
LTKF0047,1,402,401,0.9975124378109452
BLP0003,2,403,402,0.9975186104218362
LTKF0024A,2,403,402,0.9975186104218362
LTKF093,1,406,405,0.9975369458128078
JZQCQ004,1,407,406,0.9975429975429976
QCXDS001,1,412,411,0.9975728155339806
BLP0001,1,400,400,1.0
BLP0004,2,395,395,1.0
CWW0002,1,405,405,1.0
